Plot Title: 20475520,,,,,,,
#,"Date Time, GMT-06:00",temp_c,Coupler Detached,Coupler Attached (LGR S/N: 20475520),Host Connected (LGR S/N: 20475520),Stopped (LGR S/N: 20475520),End Of File (LGR S/N: 20475520)
1,07/27/19 06:33:05 PM,25.77,,,,,
2,07/27/19 06:33:26 PM,-17.78,Logged,,,,
3,07/27/19 07:33:05 PM,20.46,,,,,
4,07/27/19 08:33:05 PM,18.08,,,,,
5,07/27/19 09:33:05 PM,15.89,,,,,
6,07/27/19 10:33:05 PM,17.65,,,,,
7,07/27/19 11:33:05 PM,17.84,,,,,
8,07/28/19 12:33:05 AM,17.01,,,,,
9,07/28/19 01:33:05 AM,15.70,,,,,
10,07/28/19 02:33:05 AM,14.29,,,,,
11,07/28/19 03:33:05 AM,12.90,,,,,
12,07/28/19 04:33:05 AM,11.59,,,,,
13,07/28/19 05:33:05 AM,10.47,,,,,
14,07/28/19 06:33:05 AM,9.49,,,,,
15,07/28/19 07:33:05 AM,8.97,,,,,
16,07/28/19 08:33:05 AM,14.51,,,,,
17,07/28/19 09:33:05 AM,13.86,,,,,
18,07/28/19 10:33:05 AM,14.79,,,,,
19,07/28/19 11:33:05 AM,24.32,,,,,
20,07/28/19 12:33:05 PM,33.47,,,,,
21,07/28/19 01:33:05 PM,37.98,,,,,
22,07/28/19 02:33:05 PM,39.94,,,,,
23,07/28/19 03:33:05 PM,40.69,,,,,
24,07/28/19 04:33:05 PM,39.23,,,,,
25,07/28/19 05:33:05 PM,34.18,,,,,
26,07/28/19 06:33:05 PM,31.23,,,,,
27,07/28/19 07:33:05 PM,28.59,,,,,
28,07/28/19 08:33:05 PM,20.29,,,,,
29,07/28/19 09:33:05 PM,17.99,,,,,
30,07/28/19 10:33:05 PM,18.08,,,,,
31,07/28/19 11:33:05 PM,16.92,,,,,
32,07/29/19 12:33:05 AM,15.53,,,,,
33,07/29/19 01:33:05 AM,14.22,,,,,
34,07/29/19 02:33:05 AM,13.06,,,,,
35,07/29/19 03:33:05 AM,12.05,,,,,
36,07/29/19 04:33:05 AM,11.25,,,,,
37,07/29/19 05:33:05 AM,11.05,,,,,
38,07/29/19 06:33:05 AM,11.13,,,,,
39,07/29/19 07:33:05 AM,11.25,,,,,
40,07/29/19 08:33:05 AM,12.22,,,,,
41,07/29/19 09:33:05 AM,14.24,,,,,
42,07/29/19 10:33:05 AM,15.87,,,,,
43,07/29/19 11:33:05 AM,19.72,,,,,
44,07/29/19 12:33:05 PM,22.44,,,,,
45,07/29/19 01:33:05 PM,23.79,,,,,
46,07/29/19 02:33:05 PM,19.91,,,,,
47,07/29/19 03:33:05 PM,16.96,,,,,
48,07/29/19 04:33:05 PM,21.58,,,,,
49,07/29/19 05:33:05 PM,23.33,,,,,
50,07/29/19 06:33:05 PM,24.92,,,,,
51,07/29/19 07:33:05 PM,22.06,,,,,
52,07/29/19 08:33:05 PM,17.49,,,,,
53,07/29/19 09:33:05 PM,17.65,,,,,
54,07/29/19 10:33:05 PM,17.75,,,,,
55,07/29/19 11:33:05 PM,17.68,,,,,
56,07/30/19 12:33:05 AM,17.42,,,,,
57,07/30/19 01:33:05 AM,16.99,,,,,
58,07/30/19 02:33:05 AM,16.49,,,,,
59,07/30/19 03:33:05 AM,15.96,,,,,
60,07/30/19 04:33:05 AM,15.44,,,,,
61,07/30/19 05:33:05 AM,14.86,,,,,
62,07/30/19 06:33:05 AM,14.29,,,,,
63,07/30/19 07:33:05 AM,13.69,,,,,
64,07/30/19 08:33:05 AM,14.55,,,,,
65,07/30/19 09:33:05 AM,14.75,,,,,
66,07/30/19 10:33:05 AM,16.08,,,,,
67,07/30/19 11:33:05 AM,17.65,,,,,
68,07/30/19 12:33:05 PM,21.10,,,,,
69,07/30/19 01:33:05 PM,23.91,,,,,
70,07/30/19 02:33:05 PM,25.67,,,,,
71,07/30/19 03:33:05 PM,24.03,,,,,
72,07/30/19 04:33:05 PM,22.49,,,,,
73,07/30/19 05:33:05 PM,21.99,,,,,
74,07/30/19 06:33:05 PM,20.15,,,,,
75,07/30/19 07:33:05 PM,19.13,,,,,
76,07/30/19 08:33:05 PM,17.96,,,,,
77,07/30/19 09:33:05 PM,16.92,,,,,
78,07/30/19 10:33:05 PM,15.68,,,,,
79,07/30/19 11:33:05 PM,14.43,,,,,
80,07/31/19 12:33:05 AM,13.52,,,,,
81,07/31/19 01:33:05 AM,12.94,,,,,
82,07/31/19 02:33:05 AM,12.41,,,,,
83,07/31/19 03:33:05 AM,12.00,,,,,
84,07/31/19 04:33:05 AM,11.64,,,,,
85,07/31/19 05:33:05 AM,11.32,,,,,
86,07/31/19 06:33:05 AM,11.10,,,,,
87,07/31/19 07:33:05 AM,11.13,,,,,
88,07/31/19 08:33:05 AM,12.56,,,,,
89,07/31/19 09:33:05 AM,3.88,,,,,
90,07/31/19 10:33:05 AM,4.71,,,,,
91,07/31/19 11:33:05 AM,5.51,,,,,
92,07/31/19 12:33:05 PM,4.87,,,,,
93,07/31/19 01:33:05 PM,4.51,,,,,
94,07/31/19 02:33:05 PM,5.15,,,,,
95,07/31/19 03:33:05 PM,5.49,,,,,
96,07/31/19 04:33:05 PM,5.26,,,,,
97,07/31/19 05:33:05 PM,4.64,,,,,
98,07/31/19 06:33:05 PM,4.09,,,,,
99,07/31/19 07:33:05 PM,3.99,,,,,
100,07/31/19 08:33:05 PM,3.78,,,,,
101,07/31/19 09:33:05 PM,3.67,,,,,
102,07/31/19 10:33:05 PM,3.54,,,,,
103,07/31/19 11:33:05 PM,3.38,,,,,
104,08/01/19 12:33:05 AM,3.33,,,,,
105,08/01/19 01:33:05 AM,3.27,,,,,
106,08/01/19 02:33:05 AM,3.12,,,,,
107,08/01/19 03:33:05 AM,3.12,,,,,
108,08/01/19 04:33:05 AM,3.09,,,,,
109,08/01/19 05:33:05 AM,2.96,,,,,
110,08/01/19 06:33:05 AM,3.01,,,,,
111,08/01/19 07:33:05 AM,2.98,,,,,
112,08/01/19 08:33:05 AM,3.78,,,,,
113,08/01/19 09:33:05 AM,4.64,,,,,
114,08/01/19 10:33:05 AM,5.46,,,,,
115,08/01/19 11:33:05 AM,6.03,,,,,
116,08/01/19 12:33:05 PM,6.15,,,,,
117,08/01/19 01:33:05 PM,5.36,,,,,
118,08/01/19 02:33:05 PM,4.64,,,,,
119,08/01/19 03:33:05 PM,5.57,,,,,
120,08/01/19 04:33:05 PM,5.18,,,,,
121,08/01/19 05:33:05 PM,4.87,,,,,
122,08/01/19 06:33:05 PM,4.32,,,,,
123,08/01/19 07:33:05 PM,4.17,,,,,
124,08/01/19 08:33:05 PM,4.14,,,,,
125,08/01/19 09:33:05 PM,4.17,,,,,
126,08/01/19 10:33:05 PM,3.78,,,,,
127,08/01/19 11:33:05 PM,3.64,,,,,
128,08/02/19 12:33:05 AM,3.51,,,,,
129,08/02/19 01:33:05 AM,3.27,,,,,
130,08/02/19 02:33:05 AM,3.22,,,,,
131,08/02/19 03:33:05 AM,3.12,,,,,
132,08/02/19 04:33:05 AM,3.04,,,,,
133,08/02/19 05:33:05 AM,3.01,,,,,
134,08/02/19 06:33:05 AM,2.98,,,,,
135,08/02/19 07:33:05 AM,2.98,,,,,
136,08/02/19 08:33:05 AM,3.75,,,,,
137,08/02/19 09:33:05 AM,4.69,,,,,
138,08/02/19 10:33:05 AM,5.57,,,,,
139,08/02/19 11:33:05 AM,6.23,,,,,
140,08/02/19 12:33:05 PM,6.66,,,,,
141,08/02/19 01:33:05 PM,6.76,,,,,
142,08/02/19 02:33:05 PM,6.69,,,,,
143,08/02/19 03:33:05 PM,6.15,,,,,
144,08/02/19 04:33:05 PM,6.00,,,,,
145,08/02/19 05:33:05 PM,4.82,,,,,
146,08/02/19 06:33:05 PM,4.90,,,,,
147,08/02/19 07:33:05 PM,4.58,,,,,
148,08/02/19 08:33:05 PM,4.30,,,,,
149,08/02/19 09:33:05 PM,4.06,,,,,
150,08/02/19 10:33:05 PM,3.96,,,,,
151,08/02/19 11:33:05 PM,3.80,,,,,
152,08/03/19 12:33:05 AM,3.70,,,,,
153,08/03/19 01:33:05 AM,3.62,,,,,
154,08/03/19 02:33:05 AM,3.59,,,,,
155,08/03/19 03:33:05 AM,3.59,,,,,
156,08/03/19 04:33:05 AM,3.54,,,,,
157,08/03/19 05:33:05 AM,3.49,,,,,
158,08/03/19 06:33:05 AM,3.43,,,,,
159,08/03/19 07:33:05 AM,3.49,,,,,
160,08/03/19 08:33:05 AM,4.17,,,,,
161,08/03/19 09:33:05 AM,5.10,,,,,
162,08/03/19 10:33:05 AM,5.90,,,,,
163,08/03/19 11:33:05 AM,6.41,,,,,
164,08/03/19 12:33:05 PM,6.59,,,,,
165,08/03/19 01:33:05 PM,6.66,,,,,
166,08/03/19 02:33:05 PM,6.69,,,,,
167,08/03/19 03:33:05 PM,5.85,,,,,
168,08/03/19 04:33:05 PM,5.92,,,,,
169,08/03/19 05:33:05 PM,5.49,,,,,
170,08/03/19 06:33:05 PM,5.13,,,,,
171,08/03/19 07:33:05 PM,4.90,,,,,
172,08/03/19 08:33:05 PM,4.74,,,,,
173,08/03/19 09:33:05 PM,4.48,,,,,
174,08/03/19 10:33:05 PM,4.30,,,,,
175,08/03/19 11:33:05 PM,4.17,,,,,
176,08/04/19 12:33:05 AM,4.01,,,,,
177,08/04/19 01:33:05 AM,3.93,,,,,
178,08/04/19 02:33:05 AM,3.85,,,,,
179,08/04/19 03:33:05 AM,4.01,,,,,
180,08/04/19 04:33:05 AM,3.93,,,,,
181,08/04/19 05:33:05 AM,3.83,,,,,
182,08/04/19 06:33:05 AM,3.75,,,,,
183,08/04/19 07:33:05 AM,3.78,,,,,
184,08/04/19 08:33:05 AM,4.35,,,,,
185,08/04/19 09:33:05 AM,5.33,,,,,
186,08/04/19 10:33:05 AM,6.26,,,,,
187,08/04/19 11:33:05 AM,6.86,,,,,
188,08/04/19 12:33:05 PM,7.14,,,,,
189,08/04/19 01:33:05 PM,6.84,,,,,
190,08/04/19 02:33:05 PM,6.94,,,,,
191,08/04/19 03:33:05 PM,6.28,,,,,
192,08/04/19 04:33:05 PM,5.36,,,,,
193,08/04/19 05:33:05 PM,5.13,,,,,
194,08/04/19 06:33:05 PM,5.05,,,,,
195,08/04/19 07:33:05 PM,4.95,,,,,
