"Plot Title: 21101992"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21101992, SEN S/N: 21101992)","Coupler Detached (LGR S/N: 21101992)","Coupler Attached (LGR S/N: 21101992)","Host Connected (LGR S/N: 21101992)","Stopped (LGR S/N: 21101992)","End Of File (LGR S/N: 21101992)"
1,08/11/22 07:33:31 PM,25.453,,,,,
2,08/11/22 07:34:00 PM,,Logged,,,,
3,08/11/22 08:33:31 PM,25.307,,,,,
4,08/11/22 09:33:31 PM,22.633,,,,,
5,08/11/22 10:33:31 PM,22.369,,,,,
6,08/11/22 11:33:31 PM,21.867,,,,,
7,08/12/22 12:33:31 AM,21.032,,,,,
8,08/12/22 01:33:31 AM,20.222,,,,,
9,08/12/22 02:33:31 AM,19.341,,,,,
10,08/12/22 03:33:31 AM,18.414,,,,,
11,08/12/22 04:33:31 AM,17.629,,,,,
12,08/12/22 05:33:31 AM,17.034,,,,,
13,08/12/22 06:33:31 AM,16.582,,,,,
14,08/12/22 07:33:31 AM,16.344,,,,,
15,08/12/22 08:33:31 AM,16.963,,,,,
16,08/12/22 09:33:31 AM,22.130,,,,,
17,08/12/22 10:33:31 AM,30.318,,,,,
18,08/12/22 11:33:31 AM,37.755,,,,,
19,08/12/22 12:33:31 PM,42.654,,,,,
20,08/12/22 01:33:31 PM,41.298,,,,,
21,08/12/22 02:33:31 PM,40.487,,,,,
22,08/12/22 03:33:31 PM,42.983,,,,,
23,08/12/22 04:33:31 PM,33.783,,,,,
24,08/12/22 05:33:31 PM,30.318,,,,,
25,08/12/22 06:33:31 PM,28.072,,,,,
26,08/12/22 07:33:31 PM,27.186,,,,,
27,08/12/22 08:33:31 PM,26.671,,,,,
28,08/12/22 09:33:31 PM,26.158,,,,,
29,08/12/22 10:33:31 PM,25.550,,,,,
30,08/12/22 11:33:31 PM,24.968,,,,,
31,08/13/22 12:33:31 AM,24.291,,,,,
32,08/13/22 01:33:31 AM,23.521,,,,,
33,08/13/22 02:33:31 AM,22.753,,,,,
34,08/13/22 03:33:31 AM,21.915,,,,,
35,08/13/22 04:33:31 AM,21.079,,,,,
36,08/13/22 05:33:31 AM,20.293,,,,,
37,08/13/22 06:33:31 AM,19.532,,,,,
38,08/13/22 07:33:31 AM,18.699,,,,,
39,08/13/22 08:33:31 AM,18.343,,,,,
40,08/13/22 09:33:31 AM,18.509,,,,,
41,08/13/22 10:33:31 AM,19.318,,,,,
42,08/13/22 11:33:31 AM,20.674,,,,,
43,08/13/22 12:33:31 PM,21.175,,,,,
44,08/13/22 01:33:31 PM,21.151,,,,,
45,08/13/22 02:33:31 PM,22.274,,,,,
46,08/13/22 03:33:31 PM,24.847,,,,,
47,08/13/22 04:33:31 PM,20.484,,,,,
48,08/13/22 05:33:31 PM,9.114,,,,,
49,08/13/22 06:33:31 PM,9.089,,,,,
50,08/13/22 07:33:31 PM,8.170,,,,,
51,08/13/22 08:33:31 PM,8.295,,,,,
52,08/13/22 09:33:31 PM,7.444,,,,,
