Plot Title: 20155965,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20155965, SEN S/N: 20155965)",x1,x2,x3,x4,x6
1,07/31/17 12:00:00 AM,7.945,,,,,
2,07/31/17 12:00:00 AM,8.045,,,,,
3,07/31/17 12:00:00 AM,7.167,,,,,
4,07/31/17 12:00:00 AM,5.949,,,,,
5,07/31/17 12:00:00 AM,6.763,,,,,
6,07/31/17 12:00:00 AM,6.914,,,,,
7,07/31/17 12:00:00 AM,6.204,,,,,
8,07/31/17 12:00:00 AM,5.975,,,,,
9,07/31/17 12:00:00 AM,5.719,,,,,
10,07/31/17 12:00:00 AM,5.231,,,,,
11,07/31/17 12:00:00 AM,4.844,,,,,
12,08/01/17 12:00:00 AM,4.532,,,,,
13,08/01/17 12:00:00 AM,4.298,,,,,
14,08/01/17 12:00:00 AM,4.115,,,,,
15,08/01/17 12:00:00 AM,3.958,,,,,
16,08/01/17 12:00:00 AM,3.801,,,,,
17,08/01/17 12:00:00 AM,3.696,,,,,
18,08/01/17 12:00:00 AM,3.591,,,,,
19,08/01/17 12:00:00 AM,3.512,,,,,
20,08/01/17 12:00:00 AM,3.617,,,,,
21,08/01/17 12:00:00 AM,4.011,,,,,
22,08/01/17 12:00:00 AM,4.636,,,,,
23,08/01/17 12:00:00 AM,5.462,,,,,
24,08/01/17 12:00:00 AM,6.306,,,,,
25,08/01/17 12:00:00 AM,7.116,,,,,
26,08/01/17 12:00:00 AM,6.889,,,,,
27,08/01/17 12:00:00 AM,6.788,,,,,
28,08/01/17 12:00:00 AM,7.192,,,,,
29,08/01/17 12:00:00 AM,7.015,,,,,
30,08/01/17 12:00:00 AM,6.306,,,,,
31,08/01/17 12:00:00 AM,6.331,,,,,
32,08/01/17 12:00:00 AM,6.026,,,,,
33,08/01/17 12:00:00 AM,5.642,,,,,
34,08/01/17 12:00:00 AM,5.154,,,,,
35,08/01/17 12:00:00 AM,4.895,,,,,
36,08/02/17 12:00:00 AM,4.662,,,,,
37,08/02/17 12:00:00 AM,4.428,,,,,
38,08/02/17 12:00:00 AM,4.22,,,,,
39,08/02/17 12:00:00 AM,4.037,,,,,
40,08/02/17 12:00:00 AM,3.854,,,,,
41,08/02/17 12:00:00 AM,3.722,,,,,
42,08/02/17 12:00:00 AM,3.591,,,,,
43,08/02/17 12:00:00 AM,3.459,,,,,
44,08/02/17 12:00:00 AM,3.459,,,,,
45,08/02/17 12:00:00 AM,3.775,,,,,
46,08/02/17 12:00:00 AM,4.324,,,,,
47,08/02/17 12:00:00 AM,5.102,,,,,
48,08/02/17 12:00:00 AM,5.898,,,,,
49,08/02/17 12:00:00 AM,6.712,,,,,
50,08/02/17 12:00:00 AM,7.494,,,,,
51,08/02/17 12:00:00 AM,7.77,,,,,
52,08/02/17 12:00:00 AM,7.544,,,,,
53,08/02/17 12:00:00 AM,7.519,,,,,
54,08/02/17 12:00:00 AM,6.914,,,,,
55,08/02/17 12:00:00 AM,6.484,,,,,
56,08/02/17 12:00:00 AM,6.179,,,,,
57,08/02/17 12:00:00 AM,5.77,,,,,
58,08/02/17 12:00:00 AM,5.411,,,,,
59,08/02/17 12:00:00 AM,5.154,,,,,
60,08/03/17 12:00:00 AM,4.947,,,,,
61,08/03/17 12:00:00 AM,4.818,,,,,
62,08/03/17 12:00:00 AM,4.662,,,,,
63,08/03/17 12:00:00 AM,4.558,,,,,
64,08/03/17 12:00:00 AM,4.454,,,,,
65,08/03/17 12:00:00 AM,4.35,,,,,
66,08/03/17 12:00:00 AM,4.246,,,,,
67,08/03/17 12:00:00 AM,3.985,,,,,
68,08/03/17 12:00:00 AM,3.775,,,,,
69,08/03/17 12:00:00 AM,3.958,,,,,
70,08/03/17 12:00:00 AM,4.48,,,,,
71,08/03/17 12:00:00 AM,5.205,,,,,
72,08/03/17 12:00:00 AM,6.026,,,,,
73,08/03/17 12:00:00 AM,6.788,,,,,
74,08/03/17 12:00:00 AM,7.066,,,,,
75,08/03/17 12:00:00 AM,7.444,,,,,
76,08/03/17 12:00:00 AM,7.368,,,,,
77,08/03/17 12:00:00 AM,6.839,,,,,
78,08/03/17 12:00:00 AM,6.509,,,,,
79,08/03/17 12:00:00 AM,6.306,,,,,
80,08/03/17 12:00:00 AM,5.898,,,,,
81,08/03/17 12:00:00 AM,5.437,,,,,
82,08/03/17 12:00:00 AM,4.921,,,,,
83,08/03/17 12:00:00 AM,4.636,,,,,
84,08/04/17 12:00:00 AM,4.376,,,,,
85,08/04/17 12:00:00 AM,4.115,,,,,
86,08/04/17 12:00:00 AM,3.958,,,,,
87,08/04/17 12:00:00 AM,3.88,,,,,
88,08/04/17 12:00:00 AM,3.775,,,,,
89,08/04/17 12:00:00 AM,3.696,,,,,
