"Plot Title: 10767834"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10767834, SEN S/N: 10767834)","Coupler Detached (LGR S/N: 10767834)","Coupler Attached (LGR S/N: 10767834)","Host Connected (LGR S/N: 10767834)","Stopped (LGR S/N: 10767834)","End Of File (LGR S/N: 10767834)"
1,08/03/20 06:15:47 PM,23.833,,,,,
2,08/03/20 06:15:59 PM,,Logged,,,,
3,08/03/20 07:15:47 PM,22.968,,,,,
4,08/03/20 08:15:47 PM,22.776,,,,,
5,08/03/20 09:15:47 PM,22.681,,,,,
6,08/03/20 10:15:47 PM,22.561,,,,,
7,08/03/20 11:15:47 PM,22.393,,,,,
8,08/04/20 12:15:47 AM,22.274,,,,,
9,08/04/20 01:15:47 AM,22.202,,,,,
10,08/04/20 02:15:47 AM,22.106,,,,,
11,08/04/20 03:15:47 AM,21.987,,,,,
12,08/04/20 04:15:47 AM,21.867,,,,,
13,08/04/20 05:15:47 AM,21.748,,,,,
14,08/04/20 06:15:47 AM,21.628,,,,,
15,08/04/20 07:15:47 AM,21.724,,,,,
16,08/04/20 08:15:47 AM,22.609,,,,,
17,08/04/20 09:15:47 AM,22.609,,,,,
18,08/04/20 10:15:47 AM,22.609,,,,,
19,08/04/20 11:15:47 AM,22.681,,,,,
20,08/04/20 12:15:47 PM,23.280,,,,,
21,08/04/20 01:15:47 PM,23.376,,,,,
22,08/04/20 02:15:47 PM,23.569,,,,,
23,08/04/20 03:15:47 PM,23.713,,,,,
24,08/04/20 04:15:47 PM,23.785,,,,,
25,08/04/20 05:15:47 PM,23.833,,,,,
26,08/04/20 06:15:47 PM,29.340,,,,,
27,08/04/20 07:15:47 PM,27.801,,,,,
28,08/04/20 08:15:47 PM,23.665,,,,,
29,08/04/20 09:15:47 PM,20.317,,,,,
30,08/04/20 10:15:47 PM,18.675,,,,,
31,08/04/20 11:15:47 PM,17.153,,,,,
32,08/05/20 12:15:47 AM,15.986,,,,,
33,08/05/20 01:15:47 AM,14.984,,,,,
34,08/05/20 02:15:47 AM,14.433,,,,,
35,08/05/20 03:15:47 AM,14.505,,,,,
36,08/05/20 04:15:47 AM,14.601,,,,,
37,08/05/20 05:15:47 AM,14.864,,,,,
38,08/05/20 06:15:47 AM,14.337,,,,,
39,08/05/20 07:15:47 AM,14.098,,,,,
40,08/05/20 08:15:47 AM,17.938,,,,,
41,08/05/20 09:15:47 AM,23.040,,,,,
42,08/05/20 10:15:47 AM,29.615,,,,,
43,08/05/20 11:15:47 AM,35.208,,,,,
44,08/05/20 12:15:47 PM,38.476,,,,,
45,08/05/20 01:15:47 PM,37.893,,,,,
46,08/05/20 02:15:47 PM,35.985,,,,,
47,08/05/20 03:15:47 PM,37.042,,,,,
48,08/05/20 04:15:47 PM,38.060,,,,,
49,08/05/20 05:15:47 PM,38.980,,,,,
50,08/05/20 06:15:47 PM,37.838,,,,,
51,08/05/20 07:15:47 PM,34.334,,,,,
52,08/05/20 08:15:47 PM,31.179,,,,,
53,08/05/20 09:15:47 PM,24.050,,,,,
54,08/05/20 10:15:47 PM,21.748,,,,,
55,08/05/20 11:15:47 PM,20.603,,,,,
56,08/06/20 12:15:47 AM,19.413,,,,,
57,08/06/20 01:15:47 AM,18.319,,,,,
58,08/06/20 02:15:47 AM,18.105,,,,,
59,08/06/20 03:15:47 AM,17.344,,,,,
60,08/06/20 04:15:47 AM,16.939,,,,,
61,08/06/20 05:15:47 AM,16.820,,,,,
62,08/06/20 06:15:47 AM,16.701,,,,,
63,08/06/20 07:15:47 AM,16.058,,,,,
64,08/06/20 08:15:47 AM,15.629,,,,,
65,08/06/20 09:15:47 AM,19.532,,,,,
66,08/06/20 10:15:47 AM,20.460,,,,,
67,08/06/20 11:15:47 AM,21.032,,,,,
68,08/06/20 12:15:47 PM,21.604,,,,,
69,08/06/20 01:15:47 PM,22.681,,,,,
70,08/06/20 02:15:47 PM,24.919,,,,,
71,08/06/20 03:15:47 PM,26.891,,,,,
72,08/06/20 04:15:47 PM,28.841,,,,,
73,08/06/20 05:15:47 PM,30.117,,,,,
74,08/06/20 06:15:47 PM,30.091,,,,,
75,08/06/20 07:15:47 PM,29.240,,,,,
76,08/06/20 08:15:47 PM,28.171,,,,,
77,08/06/20 09:15:47 PM,27.112,,,,,
78,08/06/20 10:15:47 PM,26.085,,,,,
79,08/06/20 11:15:47 PM,25.016,,,,,
80,08/07/20 12:15:47 AM,23.809,,,,,
81,08/07/20 01:15:47 AM,22.465,,,,,
82,08/07/20 02:15:47 AM,21.151,,,,,
83,08/07/20 03:15:47 AM,19.960,,,,,
84,08/07/20 04:15:47 AM,18.794,,,,,
85,08/07/20 05:15:47 AM,17.653,,,,,
86,08/07/20 06:15:47 AM,16.582,,,,,
87,08/07/20 07:15:47 AM,15.581,,,,,
88,08/07/20 08:15:47 AM,14.074,,,,,
89,08/07/20 09:15:47 AM,14.337,,,,,
90,08/07/20 10:15:47 AM,15.247,,,,,
91,08/07/20 11:15:47 AM,19.508,,,,,
92,08/07/20 12:15:47 PM,25.210,,,,,
93,08/07/20 01:15:47 PM,30.117,,,,,
94,08/07/20 02:15:47 PM,35.502,,,,,
95,08/07/20 03:15:47 PM,40.343,,,,,
96,08/07/20 04:15:47 PM,42.267,,,,,
97,08/07/20 05:15:47 PM,40.631,,,,,
98,08/07/20 06:15:47 PM,37.288,,,,,
99,08/07/20 07:15:47 PM,33.783,,,,,
100,08/07/20 08:15:47 PM,28.766,,,,,
101,08/07/20 09:15:47 PM,25.866,,,,,
102,08/07/20 10:15:47 PM,23.641,,,,,
103,08/07/20 11:15:47 PM,21.246,,,,,
104,08/08/20 12:15:47 AM,19.698,,,,,
105,08/08/20 01:15:47 AM,18.247,,,,,
106,08/08/20 02:15:47 AM,16.701,,,,,
107,08/08/20 03:15:47 AM,15.151,,,,,
108,08/08/20 04:15:47 AM,13.666,,,,,
109,08/08/20 05:15:47 AM,12.316,,,,,
110,08/08/20 06:15:47 AM,11.200,,,,,
111,08/08/20 07:15:47 AM,10.247,,,,,
112,08/08/20 08:15:47 AM,9.558,,,,,
113,08/08/20 09:15:47 AM,9.805,,,,,
114,08/08/20 10:15:47 AM,17.629,,,,,
115,08/08/20 11:15:47 AM,23.472,,,,,
116,08/08/20 12:15:47 PM,25.234,,,,,
117,08/08/20 01:15:47 PM,22.824,,,,,
118,08/08/20 02:15:47 PM,24.002,,,,,
119,08/08/20 03:15:47 PM,25.793,,,,,
120,08/08/20 04:15:47 PM,23.641,,,,,
121,08/08/20 05:15:47 PM,24.629,,,,,
122,08/08/20 06:15:47 PM,20.746,,,,,
123,08/08/20 07:15:47 PM,18.033,,,,,
124,08/08/20 08:15:47 PM,15.724,,,,,
125,08/08/20 09:15:47 PM,14.242,,,,,
126,08/08/20 10:15:47 PM,13.377,,,,,
127,08/08/20 11:15:47 PM,12.654,,,,,
128,08/09/20 12:15:47 AM,12.050,,,,,
129,08/09/20 01:15:47 AM,11.540,,,,,
130,08/09/20 02:15:47 AM,11.200,,,,,
