"Plot Title: 21766159"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21766159, SEN S/N: 21766159)","Coupler Detached (LGR S/N: 21766159)","Coupler Attached (LGR S/N: 21766159)","Host Connected (LGR S/N: 21766159)","Stopped (LGR S/N: 21766159)","End Of File (LGR S/N: 21766159)"
1,08/08/23 05:47:49 PM,19.508,,,,,
2,08/08/23 05:48:04 PM,,Logged,,,,
3,08/08/23 06:47:49 PM,18.295,,,,,
4,08/08/23 07:47:49 PM,18.176,,,,,
5,08/08/23 08:47:49 PM,17.724,,,,,
6,08/08/23 09:47:49 PM,16.939,,,,,
7,08/08/23 10:47:49 PM,16.201,,,,,
8,08/08/23 11:47:49 PM,15.438,,,,,
9,08/09/23 12:47:49 AM,14.697,,,,,
10,08/09/23 01:47:49 AM,13.954,,,,,
11,08/09/23 02:47:49 AM,13.257,,,,,
12,08/09/23 03:47:49 AM,12.558,,,,,
13,08/09/23 04:47:49 AM,11.929,,,,,
14,08/09/23 05:47:49 AM,11.273,,,,,
15,08/09/23 06:47:49 AM,10.663,,,,,
16,08/09/23 07:47:49 AM,7.770,,,,,
17,08/09/23 08:47:49 AM,11.102,,,,,
18,08/09/23 09:47:49 AM,13.618,,,,,
19,08/09/23 10:47:49 AM,17.391,,,,,
20,08/09/23 11:47:49 AM,18.509,,,,,
21,08/09/23 12:47:49 PM,21.366,,,,,
22,08/09/23 01:47:49 PM,25.525,,,,,
23,08/09/23 02:47:49 PM,21.891,,,,,
24,08/09/23 03:47:49 PM,28.990,,,,,
25,08/09/23 04:47:49 PM,31.919,,,,,
26,08/09/23 05:47:49 PM,23.208,,,,,
27,08/09/23 06:47:49 PM,15.915,,,,,
28,08/09/23 07:47:49 PM,16.558,,,,,
29,08/09/23 08:47:49 PM,14.122,,,,,
30,08/09/23 09:47:49 PM,12.509,,,,,
31,08/09/23 10:47:49 PM,11.662,,,,,
32,08/09/23 11:47:49 PM,11.102,,,,,
33,08/10/23 12:47:49 AM,10.761,,,,,
34,08/10/23 01:47:49 AM,10.516,,,,,
35,08/10/23 02:47:49 AM,10.369,,,,,
36,08/10/23 03:47:49 AM,10.271,,,,,
37,08/10/23 04:47:49 AM,10.075,,,,,
