Plot Title: 10767832,,,,,,,
#,"Date Time, GMT-06:00",temp_c,Coupler detached,Coupler Attached (LGR S/N: 10767832),Host Connected (LGR S/N: 10767832),Stopped (LGR S/N: 10767832),End Of File (LGR S/N: 10767832)
1,08/02/15 10:15:08 PM,26.06,,,,,
2,08/02/15 10:15:19 PM,-17.78,Logged,,,,
3,08/02/15 11:15:08 PM,25.09,,,,,
4,08/03/15 12:15:08 AM,24.46,,,,,
5,08/03/15 01:15:08 AM,24.03,,,,,
6,08/03/15 02:15:08 AM,23.59,,,,,
7,08/03/15 03:15:08 AM,23.06,,,,,
8,08/03/15 04:15:08 AM,22.49,,,,,
9,08/03/15 05:15:08 AM,21.96,,,,,
10,08/03/15 06:15:08 AM,21.49,,,,,
11,08/03/15 07:15:08 AM,21.13,,,,,
12,08/03/15 08:15:08 AM,20.96,,,,,
13,08/03/15 09:15:08 AM,20.98,,,,,
14,08/03/15 10:15:08 AM,19.39,,,,,
15,08/03/15 11:15:08 AM,20.96,,,,,
16,08/03/15 12:15:08 PM,21.34,,,,,
17,08/03/15 01:15:08 PM,22.39,,,,,
18,08/03/15 02:15:08 PM,23.28,,,,,
19,08/03/15 03:15:08 PM,24.07,,,,,
20,08/03/15 04:15:08 PM,22.39,,,,,
21,08/03/15 05:15:08 PM,18.94,,,,,
22,08/03/15 06:15:08 PM,17.37,,,,,
23,08/03/15 07:15:08 PM,16.23,,,,,
24,08/03/15 08:15:08 PM,14.86,,,,,
25,08/03/15 09:15:08 PM,13.43,,,,,
26,08/03/15 10:15:08 PM,12.44,,,,,
27,08/03/15 11:15:08 PM,12.07,,,,,
28,08/04/15 12:15:08 AM,11.88,,,,,
29,08/04/15 01:15:08 AM,11.81,,,,,
30,08/04/15 02:15:08 AM,11.69,,,,,
31,08/04/15 03:15:08 AM,11.52,,,,,
32,08/04/15 04:15:08 AM,11.44,,,,,
33,08/04/15 05:15:08 AM,11.39,,,,,
34,08/04/15 06:15:08 AM,11.30,,,,,
35,08/04/15 07:15:08 AM,11.25,,,,,
36,08/04/15 08:15:08 AM,11.35,,,,,
37,08/04/15 09:15:08 AM,12.24,,,,,
38,08/04/15 10:15:08 AM,14.58,,,,,
39,08/04/15 11:15:08 AM,15.25,,,,,
40,08/04/15 12:15:08 PM,13.98,,,,,
41,08/04/15 01:15:08 PM,14.07,,,,,
42,08/04/15 02:15:08 PM,17.01,,,,,
43,08/04/15 03:15:08 PM,19.37,,,,,
44,08/04/15 04:15:08 PM,20.17,,,,,
45,08/04/15 05:15:08 PM,26.57,,,,,
46,08/04/15 06:15:08 PM,23.16,,,,,
47,08/04/15 07:15:08 PM,19.41,,,,,
48,08/04/15 08:15:08 PM,17.18,,,,,
49,08/04/15 09:15:08 PM,15.27,,,,,
50,08/04/15 10:15:08 PM,13.91,,,,,
51,08/04/15 11:15:08 PM,13.33,,,,,
