Plot Title: 20174695,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 20174695, SEN S/N: 20174695)",Coupler Detached (LGR S/N: 20174695),Coupler Attached (LGR S/N: 20174695),Host Connected (LGR S/N: 20174695),Stopped (LGR S/N: 20174695),End Of File (LGR S/N: 20174695)
1,08/05/17 08:54:00 PM,22.226,,,,,
2,08/05/17 08:55:00 PM,,Logged,,,,
3,08/05/17 09:54:00 PM,14.505,,,,min,-0.004
4,08/05/17 10:54:00 PM,14.936,,,,max,16.058
5,08/05/17 11:54:00 PM,13.834,,,,range,16.062
6,08/06/17 12:54:00 AM,13.642,,,,,
7,08/06/17 01:54:00 AM,13.04,,,,,
8,08/06/17 02:54:00 AM,12.606,,,,,
9,08/06/17 03:54:00 AM,12.219,,,,,
10,08/06/17 04:54:00 AM,11.589,,,,,
11,08/06/17 05:54:00 AM,10.761,,,,,
12,08/06/17 06:54:00 AM,9.632,,,,,
13,08/06/17 07:54:00 AM,9.632,,,,,
14,08/06/17 08:54:00 AM,12.195,,,,,
15,08/06/17 09:54:00 AM,15.676,,,,,
16,08/06/17 10:54:00 AM,18.01,,,,,
17,08/06/17 11:54:00 AM,19.984,,,,,
18,08/06/17 12:54:00 PM,24.363,,,,,
19,08/06/17 01:54:00 PM,28.941,,,,,
20,08/06/17 02:54:00 PM,32.924,,,,,
21,08/06/17 03:54:00 PM,35.958,,,,,
22,08/06/17 04:54:00 PM,37.866,,,,,
23,08/06/17 05:54:00 PM,39.8,,,,,
24,08/06/17 06:54:00 PM,40.228,,,,,
25,08/06/17 07:54:00 PM,37.838,,,,,
26,08/06/17 08:54:00 PM,32.794,,,,,
27,08/06/17 09:54:00 PM,27.604,,,,,
28,08/06/17 10:54:00 PM,23.809,,,,,
29,08/06/17 11:54:00 PM,20.984,,,,,
30,08/07/17 12:54:00 AM,18.723,,,,,
31,08/07/17 01:54:00 AM,16.844,,,,,
32,08/07/17 02:54:00 AM,15.342,,,,,
33,08/07/17 03:54:00 AM,13.954,,,,,
34,08/07/17 04:54:00 AM,12.654,,,,,
35,08/07/17 05:54:00 AM,11.492,,,,,
36,08/07/17 06:54:00 AM,10.663,,,,,
37,08/07/17 07:54:00 AM,11.2,,,,,
38,08/07/17 08:54:00 AM,14.002,,,,,
39,08/07/17 09:54:00 AM,18.913,,,,,
40,08/07/17 10:54:00 AM,21.342,,,,,
41,08/07/17 11:54:00 AM,23.545,,,,,
42,08/07/17 12:54:00 PM,24.798,,,,,
43,08/07/17 01:54:00 PM,25.453,,,,,
44,08/07/17 02:54:00 PM,26.182,,,,,
45,08/07/17 03:54:00 PM,26.475,,,,,
46,08/07/17 04:54:00 PM,28.32,,,,,
47,08/07/17 05:54:00 PM,30.343,,,,,
48,08/07/17 06:54:00 PM,29.941,,,,,
49,08/07/17 07:54:00 PM,27.751,,,,,
50,08/07/17 08:54:00 PM,25.477,,,,,
51,08/07/17 09:54:00 PM,22.824,,,,,
52,08/07/17 10:54:00 PM,20.174,,,,,
53,08/07/17 11:54:00 PM,18.105,,,,,
54,08/08/17 12:54:00 AM,16.32,,,,,
55,08/08/17 01:54:00 AM,14.625,,,,,
56,08/08/17 02:54:00 AM,13.257,,,,,
57,08/08/17 03:54:00 AM,12.001,,,,,
58,08/08/17 04:54:00 AM,10.858,,,,,
59,08/08/17 05:54:00 AM,10.026,,,,,
60,08/08/17 06:54:00 AM,9.386,,,,,
61,08/08/17 07:54:00 AM,9.534,,,,,
62,08/08/17 08:54:00 AM,10.369,,,,,
63,08/08/17 09:54:00 AM,12.05,,,,,
64,08/08/17 10:54:00 AM,13.666,,,,,
65,08/08/17 11:54:00 AM,14.194,,,,,
