"Plot Title: 20571724"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20571724, SEN S/N: 20571724)","Coupler Detached (LGR S/N: 20571724)","Coupler Attached (LGR S/N: 20571724)","Host Connected (LGR S/N: 20571724)","Stopped (LGR S/N: 20571724)","End Of File (LGR S/N: 20571724)"
1,08/03/20 06:20:12 PM,23.809,,,,,
2,08/03/20 06:20:23 PM,,Logged,,,,
3,08/03/20 07:20:12 PM,23.954,,,,,
4,08/03/20 08:20:12 PM,23.785,,,,,
5,08/03/20 09:20:12 PM,23.545,,,,,
6,08/03/20 10:20:12 PM,23.304,,,,,
7,08/03/20 11:20:12 PM,23.040,,,,,
8,08/04/20 12:20:12 AM,22.896,,,,,
9,08/04/20 01:20:12 AM,22.729,,,,,
10,08/04/20 02:20:12 AM,22.561,,,,,
11,08/04/20 03:20:12 AM,22.369,,,,,
12,08/04/20 04:20:12 AM,22.202,,,,,
13,08/04/20 05:20:12 AM,22.058,,,,,
14,08/04/20 06:20:12 AM,21.963,,,,,
15,08/04/20 07:20:12 AM,22.393,,,,,
16,08/04/20 08:20:12 AM,23.448,,,,,
17,08/04/20 09:20:12 AM,23.521,,,,,
18,08/04/20 10:20:12 AM,23.665,,,,,
19,08/04/20 11:20:12 AM,23.930,,,,,
20,08/04/20 12:20:12 PM,23.569,,,,,
21,08/04/20 01:20:12 PM,23.545,,,,,
22,08/04/20 02:20:12 PM,23.785,,,,,
23,08/04/20 03:20:12 PM,23.930,,,,,
24,08/04/20 04:20:12 PM,24.026,,,,,
25,08/04/20 05:20:12 PM,24.050,,,,,
26,08/04/20 06:20:12 PM,30.874,,,,,
27,08/04/20 07:20:12 PM,26.769,,,,,
28,08/04/20 08:20:12 PM,22.561,,,,,
29,08/04/20 09:20:12 PM,20.103,,,,,
30,08/04/20 10:20:12 PM,18.604,,,,,
31,08/04/20 11:20:12 PM,17.106,,,,,
32,08/05/20 12:20:12 AM,16.010,,,,,
33,08/05/20 01:20:12 AM,15.031,,,,,
34,08/05/20 02:20:12 AM,14.673,,,,,
35,08/05/20 03:20:12 AM,14.840,,,,,
36,08/05/20 04:20:12 AM,14.864,,,,,
37,08/05/20 05:20:12 AM,15.223,,,,,
38,08/05/20 06:20:12 AM,14.194,,,,,
39,08/05/20 07:20:12 AM,14.984,,,,,
40,08/05/20 08:20:12 AM,19.722,,,,,
41,08/05/20 09:20:12 AM,25.501,,,,,
42,08/05/20 10:20:12 AM,32.253,,,,,
43,08/05/20 11:20:12 AM,37.425,,,,,
