"Plot Title: 21762748"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21762748, SEN S/N: 21762748)","Coupler Detached (LGR S/N: 21762748)","Coupler Attached (LGR S/N: 21762748)","Host Connected (LGR S/N: 21762748)","Stopped (LGR S/N: 21762748)","End Of File (LGR S/N: 21762748)"
1,08/10/23 03:21:47 PM,22.705,,,,,
2,08/10/23 03:21:56 PM,,Logged,,,,
3,08/10/23 04:21:47 PM,24.629,,,,,
4,08/10/23 05:21:47 PM,23.665,,,,,
5,08/10/23 06:21:47 PM,23.208,,,,,
6,08/10/23 07:21:47 PM,22.872,,,,,
7,08/10/23 08:21:47 PM,22.106,,,,,
8,08/10/23 09:21:47 PM,21.103,,,,,
9,08/10/23 10:21:47 PM,20.650,,,,,
10,08/10/23 11:21:47 PM,20.388,,,,,
11,08/11/23 12:21:47 AM,20.126,,,,,
12,08/11/23 01:21:47 AM,19.817,,,,,
13,08/11/23 02:21:47 AM,19.484,,,,,
14,08/11/23 03:21:47 AM,19.056,,,,,
15,08/11/23 04:21:47 AM,18.557,,,,,
16,08/11/23 05:21:47 AM,18.010,,,,,
17,08/11/23 06:21:47 AM,17.368,,,,,
18,08/11/23 07:21:47 AM,16.677,,,,,
19,08/11/23 08:21:47 AM,16.368,,,,,
20,08/11/23 09:21:47 AM,18.057,,,,,
21,08/11/23 10:21:47 AM,18.771,,,,,
22,08/11/23 11:21:47 AM,22.202,,,,,
23,08/11/23 12:21:47 PM,28.072,,,,,
24,08/11/23 01:21:47 PM,28.816,,,,,
25,08/11/23 02:21:47 PM,9.361,,,,,
26,08/11/23 03:21:47 PM,6.839,,,,,
27,08/11/23 04:21:47 PM,6.102,,,,,
28,08/11/23 05:21:47 PM,4.714,,,,,
29,08/11/23 06:21:47 PM,3.932,,,,,
30,08/11/23 07:21:47 PM,3.696,,,,,
31,08/11/23 08:21:47 PM,3.485,,,,,
32,08/11/23 09:21:47 PM,3.354,,,,,
33,08/11/23 10:21:47 PM,3.301,,,,,
34,08/11/23 11:21:47 PM,3.274,,,,,
35,08/12/23 12:21:47 AM,3.221,,,,,
36,08/12/23 01:21:47 AM,3.168,,,,,
37,08/12/23 02:21:47 AM,3.116,,,,,
38,08/12/23 03:21:47 AM,3.116,,,,,
39,08/12/23 04:21:47 AM,3.089,,,,,
40,08/12/23 05:21:47 AM,3.036,,,,,
41,08/12/23 06:21:47 AM,2.930,,,,,
42,08/12/23 07:21:47 AM,3.775,,,,,
43,08/12/23 08:21:47 AM,5.334,,,,,
44,08/12/23 09:21:47 AM,6.661,,,,,
45,08/12/23 10:21:47 AM,7.795,,,,,
46,08/12/23 11:21:47 AM,8.444,,,,,
47,08/12/23 12:21:47 PM,8.419,,,,,
48,08/12/23 01:21:47 PM,8.070,,,,,
49,08/12/23 02:21:47 PM,7.268,,,,,
50,08/12/23 03:21:47 PM,6.990,,,,,
51,08/12/23 04:21:47 PM,5.949,,,,,
52,08/12/23 05:21:47 PM,4.714,,,,,
