Plot Title: 10767835,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 10767835, SEN S/N: 10767835)",Coupler Detached (LGR S/N: 10767835),Coupler Attached (LGR S/N: 10767835),Host Connected (LGR S/N: 10767835),Stopped (LGR S/N: 10767835),End Of File (LGR S/N: 10767835)
1,08/02/15 10:24:00 PM,25.5,,,,,
2,08/02/15 10:24:00 PM,,Logged,,,,
3,08/02/15 11:24:00 PM,24.9,,,,,
4,08/03/15 12:24:00 AM,24.2,,,,min,0.1
5,08/03/15 01:24:00 AM,23.9,,,,max,4.4
6,08/03/15 02:24:00 AM,23.4,,,,range,4.4
7,08/03/15 03:24:00 AM,22.8,,,,,
8,08/03/15 04:24:00 AM,22.3,,,,,
9,08/03/15 05:24:00 AM,21.7,,,,,
10,08/03/15 06:24:00 AM,21.2,,,,,
11,08/03/15 07:24:00 AM,20.9,,,,,
12,08/03/15 08:24:00 AM,20.9,,,,,
13,08/03/15 09:24:00 AM,20.1,,,,,
14,08/03/15 10:24:00 AM,18.4,,,,,
15,08/03/15 11:24:00 AM,19.2,,,,,
16,08/03/15 12:24:00 PM,21.2,,,,,
17,08/03/15 01:24:00 PM,21.8,,,,,
18,08/03/15 02:24:00 PM,21.9,,,,,
19,08/03/15 03:24:00 PM,22.4,,,,,
20,08/03/15 04:24:00 PM,21.5,,,,,
21,08/03/15 05:24:00 PM,19.6,,,,,
22,08/03/15 06:24:00 PM,17.5,,,,,
23,08/03/15 07:24:00 PM,16.8,,,,,
24,08/03/15 08:24:00 PM,16.2,,,,,
25,08/03/15 09:24:00 PM,15.8,,,,,
26,08/03/15 10:24:00 PM,15.5,,,,,
27,08/03/15 11:24:00 PM,15,,,,,
28,08/04/15 12:24:00 AM,14.6,,,,,
29,08/04/15 01:24:00 AM,13.8,,,,,
30,08/04/15 02:24:00 AM,13.2,,,,,
31,08/04/15 03:24:00 AM,12.8,,,,,
32,08/04/15 04:24:00 AM,12.3,,,,,
33,08/04/15 05:24:00 AM,12.1,,,,,
34,08/04/15 06:24:00 AM,12.1,,,,,
35,08/04/15 07:24:00 AM,12.2,,,,,
36,08/04/15 08:24:00 AM,12.6,,,,,
37,08/04/15 09:24:00 AM,12.8,,,,,
38,08/04/15 10:24:00 AM,13.4,,,,,
39,08/04/15 11:24:00 AM,14.5,,,,,
40,08/04/15 12:24:00 PM,16.9,,,,,
41,08/04/15 01:24:00 PM,19.4,,,,,
42,08/04/15 02:24:00 PM,20.2,,,,,
43,08/04/15 03:24:00 PM,21.3,,,,,
44,08/04/15 04:24:00 PM,22.2,,,,,
45,08/04/15 05:24:00 PM,22.7,,,,,
46,08/04/15 06:24:00 PM,22.1,,,,,
47,08/04/15 07:24:00 PM,22.6,,,,,
48,08/04/15 08:24:00 PM,20.7,,,,,
49,08/04/15 09:24:00 PM,18.6,,,,,
50,08/04/15 10:24:00 PM,16.6,,,,,
51,08/04/15 11:24:00 PM,14.8,,,,,
52,08/05/15 12:24:00 AM,13.1,,,,,
53,08/05/15 01:24:00 AM,11.8,,,,,
54,08/05/15 02:24:00 AM,10.7,,,,,
55,08/05/15 03:24:00 AM,10.3,,,,,
56,08/05/15 04:24:00 AM,10,,,,,
57,08/05/15 05:24:00 AM,9.8,,,,,
58,08/05/15 06:24:00 AM,9.8,,,,,
59,08/05/15 07:24:00 AM,9.9,,,,,
60,08/05/15 08:24:00 AM,10.1,,,,,
61,08/05/15 09:24:00 AM,10.9,,,,,
62,08/05/15 10:24:00 AM,11.9,,,,,
63,08/05/15 11:24:00 AM,13.4,,,,,
64,08/05/15 12:24:00 PM,15.8,,,,,
65,08/05/15 01:24:00 PM,17.1,,,,,
66,08/05/15 02:24:00 PM,18.1,,,,,
67,08/05/15 03:24:00 PM,18.4,,,,,
68,08/05/15 04:24:00 PM,19,,,,,
69,08/05/15 05:24:00 PM,17.7,,,,,
70,08/05/15 06:24:00 PM,15.2,,,,,
