"Plot Title: 20224665"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20224665, SEN S/N: 20224665)","Coupler Detached (LGR S/N: 20224665)","Coupler Attached (LGR S/N: 20224665)","Host Connected (LGR S/N: 20224665)","Stopped (LGR S/N: 20224665)","End Of File (LGR S/N: 20224665)"
1,07/29/18 07:00:00 PM,23.930,Logged,,,,
2,07/29/18 08:00:00 PM,23.905,,,,,
3,07/29/18 09:00:00 PM,21.867,,,,,
4,07/29/18 10:00:00 PM,17.724,,,,,
5,07/29/18 11:00:00 PM,13.738,,,,,
6,07/30/18 12:00:00 AM,12.413,,,,,
7,07/30/18 01:00:00 AM,11.346,,,,,
8,07/30/18 02:00:00 AM,10.516,,,,,
9,07/30/18 03:00:00 AM,9.928,,,,,
10,07/30/18 04:00:00 AM,9.435,,,,,
11,07/30/18 05:00:00 AM,8.866,,,,,
12,07/30/18 06:00:00 AM,8.170,,,,,
13,07/30/18 07:00:00 AM,7.519,,,,,
14,07/30/18 08:00:00 AM,7.192,,,,,
15,07/30/18 09:00:00 AM,7.343,,,,,
16,07/30/18 10:00:00 AM,10.590,,,,,
17,07/30/18 11:00:00 AM,12.654,,,,,
18,07/30/18 12:00:00 PM,14.529,,,,,
19,07/30/18 01:00:00 PM,18.247,,,,,
20,07/30/18 02:00:00 PM,22.753,,,,,
21,07/30/18 03:00:00 PM,26.036,,,,,
22,07/30/18 04:00:00 PM,30.394,,,,,
23,07/30/18 05:00:00 PM,35.555,,,,,
24,07/30/18 06:00:00 PM,38.393,,,,,
25,07/30/18 07:00:00 PM,37.700,,,,,
26,07/30/18 08:00:00 PM,34.677,,,,,
27,07/30/18 09:00:00 PM,34.942,,,,,
28,07/30/18 10:00:00 PM,32.433,,,,,
29,07/30/18 11:00:00 PM,26.012,,,,,
30,07/31/18 12:00:00 AM,22.753,,,,,
31,07/31/18 01:00:00 AM,20.317,,,,,
32,07/31/18 02:00:00 AM,18.152,,,,,
33,07/31/18 03:00:00 AM,16.368,,,,,
34,07/31/18 04:00:00 AM,14.864,,,,,
35,07/31/18 05:00:00 AM,13.570,,,,,
36,07/31/18 06:00:00 AM,12.437,,,,,
37,07/31/18 07:00:00 AM,11.443,,,,,
38,07/31/18 08:00:00 AM,10.687,,,,,
39,07/31/18 09:00:00 AM,10.418,,,,,
40,07/31/18 10:00:00 AM,14.098,,,,,
41,07/31/18 11:00:00 AM,17.962,,,,,
42,07/31/18 12:00:00 PM,16.963,,,,,
43,07/31/18 01:00:00 PM,21.270,,,,,
44,07/31/18 02:00:00 PM,3.327,,,,,
45,07/31/18 03:00:00 PM,3.380,,,,,
46,07/31/18 04:00:00 PM,3.354,,,,,
47,07/31/18 05:00:00 PM,3.406,,,,,
48,07/31/18 06:00:00 PM,3.248,,,,,
49,07/31/18 07:00:00 PM,3.168,,,,,
50,07/31/18 08:00:00 PM,3.089,,,,,
51,07/31/18 09:00:00 PM,2.983,,,,,
52,07/31/18 10:00:00 PM,2.903,,,,,
53,07/31/18 11:00:00 PM,2.903,,,,,
54,08/01/18 12:00:00 AM,2.930,,,,,
55,08/01/18 01:00:00 AM,2.903,,,,,
56,08/01/18 02:00:00 AM,2.903,,,,,
57,08/01/18 03:00:00 AM,2.903,,,,,
58,08/01/18 04:00:00 AM,2.903,,,,,
59,08/01/18 05:00:00 AM,2.930,,,,,
60,08/01/18 06:00:00 AM,2.903,,,,,
61,08/01/18 07:00:00 AM,2.903,,,,,
62,08/01/18 08:00:00 AM,2.956,,,,,
63,08/01/18 09:00:00 AM,3.036,,,,,
64,08/01/18 10:00:00 AM,3.248,,,,,
65,08/01/18 11:00:00 AM,3.380,,,,,
66,08/01/18 12:00:00 PM,3.485,,,,,
67,08/01/18 01:00:00 PM,3.459,,,,,
