Plot Title: 20174695							
#	"Date Time, GMT-06:00"	"Temp, °C (LGR S/N: 20174695, SEN S/N: 20174695)"	Coupler Detached (LGR S/N: 20174695)	Coupler Attached (LGR S/N: 20174695)	Host Connected (LGR S/N: 20174695)	Stopped (LGR S/N: 20174695)	End Of File (LGR S/N: 20174695)
1	8/5/2017 20:54	22.226					
2	8/5/2017 20:55		Logged				
3	8/5/2017 21:54	14.505				min	-0.004
4	8/5/2017 22:54	14.936				max	16.058
5	8/5/2017 23:54	13.834				range	16.062
6	8/6/2017 0:54	13.642					
7	8/6/2017 1:54	13.04					
8	8/6/2017 2:54	12.606					
9	8/6/2017 3:54	12.219					
10	8/6/2017 4:54	11.589					
11	8/6/2017 5:54	10.761					
12	8/6/2017 6:54	9.632					
13	8/6/2017 7:54	9.632					
14	8/6/2017 8:54	12.195					
15	8/6/2017 9:54	15.676					
16	8/6/2017 10:54	18.01					
17	8/6/2017 11:54	19.984					
18	8/6/2017 12:54	24.363					
19	8/6/2017 13:54	28.941					
20	8/6/2017 14:54	32.924					
21	8/6/2017 15:54	35.958					
22	8/6/2017 16:54	37.866					
23	8/6/2017 17:54	39.8					
24	8/6/2017 18:54	40.228					
25	8/6/2017 19:54	37.838					
26	8/6/2017 20:54	32.794					
27	8/6/2017 21:54	27.604					
28	8/6/2017 22:54	23.809					
29	8/6/2017 23:54	20.984					
30	8/7/2017 0:54	18.723					
31	8/7/2017 1:54	16.844					
32	8/7/2017 2:54	15.342					
33	8/7/2017 3:54	13.954					
34	8/7/2017 4:54	12.654					
35	8/7/2017 5:54	11.492					
36	8/7/2017 6:54	10.663					
37	8/7/2017 7:54	11.2					
38	8/7/2017 8:54	14.002					
39	8/7/2017 9:54	18.913					
40	8/7/2017 10:54	21.342					
41	8/7/2017 11:54	23.545					
42	8/7/2017 12:54	24.798					
43	8/7/2017 13:54	25.453					
44	8/7/2017 14:54	26.182					
45	8/7/2017 15:54	26.475					
46	8/7/2017 16:54	28.32					
47	8/7/2017 17:54	30.343					
48	8/7/2017 18:54	29.941					
49	8/7/2017 19:54	27.751					
50	8/7/2017 20:54	25.477					
51	8/7/2017 21:54	22.824					
52	8/7/2017 22:54	20.174					
53	8/7/2017 23:54	18.105					
54	8/8/2017 0:54	16.32					
55	8/8/2017 1:54	14.625					
56	8/8/2017 2:54	13.257					
57	8/8/2017 3:54	12.001					
58	8/8/2017 4:54	10.858					
59	8/8/2017 5:54	10.026					
60	8/8/2017 6:54	9.386					
61	8/8/2017 7:54	9.534					
62	8/8/2017 8:54	10.369					
63	8/8/2017 9:54	12.05					
64	8/8/2017 10:54	13.666					
65	8/8/2017 11:54	14.194					
66	8/8/2017 12:54	14.385					
67	8/8/2017 13:54	14.074					
68	8/8/2017 14:54	14.697					
69	8/8/2017 15:54	16.63					
70	8/8/2017 16:54	21.987					
71	8/8/2017 17:54	27.284					
72	8/8/2017 18:54	29.215					
73	8/8/2017 19:54	25.914					
74	8/8/2017 20:54	23.28					
75	8/8/2017 21:54	21.032					
76	8/8/2017 22:54	18.889					
77	8/8/2017 23:54	16.63					
78	8/9/2017 0:54	16.058					
79	8/9/2017 1:54	15.843					
80	8/9/2017 2:54	15.318					
81	8/9/2017 3:54	14.601					
82	8/9/2017 4:54	13.786					
83	8/9/2017 5:54	12.968					
84	8/9/2017 6:54	12.243					
85	8/9/2017 7:54	11.88					
86	8/9/2017 8:54	13.112					
87	8/9/2017 9:54	15.7					
88	8/9/2017 10:54	18.224					
89	8/9/2017 11:54	20.126					
90	8/9/2017 12:54	22.369					
91	8/9/2017 13:54	20.913					
92	8/9/2017 14:54	20.484					
93	8/9/2017 15:54	23.184					
94	8/9/2017 16:54	22.968					
95	8/9/2017 17:54	22.537					
96	8/9/2017 18:54	22.489					
97	8/9/2017 19:54	21.318					
98	8/9/2017 20:54	21.127					
99	8/9/2017 21:54	20.579					
100	8/9/2017 22:54	20.246					
101	8/9/2017 23:54	22.25					
102	8/10/2017 0:54	26.304					
103	8/10/2017 1:54	26.598					
104	8/10/2017 2:54	26.72					
105	8/10/2017 3:54	25.939					
106	8/10/2017 4:54	24.219					
107	8/10/2017 5:54	22.657					
108	8/10/2017 6:54	21.772					
109	8/10/2017 7:54	21.724					
110	8/10/2017 8:54	21.819					
111	8/10/2017 9:54	21.748					
112	8/10/2017 10:54	21.819					
113	8/10/2017 11:54	21.843					
114	8/10/2017 12:54	22.011					
115	8/10/2017 13:54	22.274					
116	8/10/2017 14:54	22.393					
117	8/10/2017 15:54	22.489					
118	8/10/2017 16:54	22.681					
119	8/10/2017 17:54	23.064					
120	8/10/2017 18:54	23.352					
121	8/10/2017 19:54	23.4					
122	8/10/2017 20:54	23.304					
123	8/10/2017 21:54	23.112					
124	8/10/2017 22:54	23.304					
125	8/10/2017 23:54	23.088					
126	8/11/2017 0:54	21.891					
127	8/11/2017 1:54	20.246					
128	8/11/2017 2:54	18.699					
129	8/11/2017 3:54	17.391					
130	8/11/2017 4:54	17.391					
131	8/11/2017 5:54	17.653					
132	8/11/2017 6:54	17.748					
133	8/11/2017 7:54	18.723					
134	8/11/2017 8:54	18.961					
135	8/11/2017 9:54	19.651					
136	8/11/2017 10:54	20.246					
137	8/11/2017 11:54	20.365					
138	8/11/2017 12:54	20.46					
139	8/11/2017 13:54	20.555					
140	8/11/2017 14:54	20.65					
141	8/11/2017 15:54	20.674					
142	8/11/2017 16:54	26.818					
143	8/11/2017 17:54	27.186					
144	8/11/2017 18:54	23.448					
145	8/11/2017 19:54	21.557					
146	8/11/2017 20:54	19.912					
147	8/11/2017 21:54	18.771					
148	8/11/2017 22:54	17.938					
149	8/11/2017 23:54	17.177					
150	8/12/2017 0:54	16.415					
151	8/12/2017 1:54	15.748					
152	8/12/2017 2:54	15.103					
153	8/12/2017 3:54	14.553					
154	8/12/2017 4:54	14.05					
155	8/12/2017 5:54	13.449					
156	8/12/2017 6:54	12.847					
157	8/12/2017 7:54	12.316					
158	8/12/2017 8:54	11.904					
159	8/12/2017 9:54	13.762					
160	8/12/2017 10:54	14.05					
161	8/12/2017 11:54	16.511					
162	8/12/2017 12:54	18.129					
163	8/12/2017 13:54	19.651					
164	8/12/2017 14:54	20.388					
165	8/12/2017 15:54	19.674					
166	8/12/2017 16:54	25.817					
167	8/12/2017 17:54	24.677					
168	8/12/2017 18:54	19.817					
169	8/12/2017 19:54	16.582					
170	8/12/2017 20:54	11.37					
171	8/12/2017 21:54	11.686					
172	8/12/2017 22:54	10.026					
173	8/12/2017 23:54	9.78					
174	8/13/2017 0:54	11.029					
175	8/13/2017 1:54	10.541					
176	8/13/2017 2:54	9.879					
177	8/13/2017 3:54	9.336					
178	8/13/2017 4:54	8.891					
179	8/13/2017 5:54	8.543					
180	8/13/2017 6:54	9.336					
181	8/13/2017 7:54	11.224					
182	8/13/2017 8:54	14.481					
183	8/13/2017 9:54	15.438					
184	8/13/2017 10:54	17.106					
185	8/13/2017 11:54	15.008					
186	8/13/2017 12:54	12.606					
187	8/13/2017 13:54	13.377					
188	8/13/2017 14:54	14.29					
189	8/13/2017 15:54	16.654					
190	8/13/2017 16:54	17.486					
191	8/13/2017 17:54	15.199					
192	8/13/2017 18:54	7.444					
193	8/13/2017 19:54	6.535					
194	8/13/2017 20:54	5.693					
195	8/13/2017 21:54	5.076					
196	8/13/2017 22:54	4.869					
197	8/13/2017 23:54	4.74					
198	8/14/2017 0:54	4.636					
199	8/14/2017 1:54	4.298					
200	8/14/2017 2:54	4.089					
201	8/14/2017 3:54	3.722					
202	8/14/2017 4:54	3.696					
203	8/14/2017 5:54	3.591					
204	8/14/2017 6:54	3.749					
