Stream,Name,Type,Site ,Year,Date,Area,Fraction,Sampler,NoSurbers,Rep,Taxa,Biomass,Abundance ,Density,Stage
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,2Megarcys,2508.4,13,140,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,2Megarcys,542.63,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,2Megarcys,162.28,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,1Megarcys,20.35,14,151,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,1Megarcys,18.06,12,129,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,1Megarcys,9.38,4,43,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,1Megarcys,13.14,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,1Megarcys,3.79,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Acari,76.43,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Acari,700.57,55,592,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Acari,420.34,33,355,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Acari,12.74,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Agathon,2.56,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Agathon,6.61,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Allomyia,2.41,7,75,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Allomyia,3.29,7,75,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Allomyia,5.27,15,161,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Allomyia,2.49,22,237,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Baetis,4.36,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Baetis,6.02,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Baetis,3.18,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Baetis,1.77,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Baetis,30.22,4,43,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Baetis,15.05,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Cinygmula,114.71,14,151,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Cinygmula,14.63,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Cinygmula,176.15,12,129,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Cinygmula,37.85,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Cinygmula,94.38,8,86,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Cinygmula,79.13,6,65,larval
