Year,Park,Sampler,Stream,Rep,Fraction,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,Abundance ,Density,Biomass (mg/m2),Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2020,GRTE,Surber,Middle Teton,3,Small,Non-Tanypodinae,4,4.25,3.75,3,3.25,3,5,3.5,4,4.25,4.25,7.25,4,2.75,1.75,4,3.75,2.5,3,2,3.7,0.02,,298,3208,66.64,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,3,Small,Chironomidae Pupae,3,,,,,,,,,,,,,,,,,,,,3,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,3,Large,Non-Tanypodinae,4,4.5,5,6.75,5.5,7.5,6,7.5,6,6,4.5,5,7,7,4,4,5,7.5,6.75,4,5.7,0.07,,121,1302,91.02,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,3,Large,Chironomidae Pupae,4,,,,,,,,,,,,,,,,,,,,4,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Small,Non-Tanypodinae,3.5,3,2,4.25,4,4,4,2.5,6,5.75,4,3.5,2.25,5.5,4.5,4.5,2.75,6.75,6.25,7,4.3,0.03,,322,3466,112.31,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Small,Chironomidae Pupae,3.25,4,5,,,,,,,,,,,,,,,,,,4.1,,,3,32,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Small,Chironomidae Adult,3,,,,,,,,,,,,,,,,,,,,3,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Small,Clinocera,5.5,,,,,,,,,,,,,,,,,,,,5.5,0.42,,1,11,4.52,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Small,Oligochaeta,4,4.5,,,,,,,,,,,,,,,,,,,4.3,0.34,,2,22,7.31,,,0.25,0.25,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Large,Non-Tanypodinae,5,5,7,5.5,6.5,5.5,6.5,4,6,4.5,6,6,2.25,6.5,7,2.75,4,5.5,5,8,5.4,0.06,,108,1163,71.71,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,2,Large,Chironomidae Adult,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,1,Small,Non-Tanypodinae,6,3.5,3.75,6.25,4.5,4.25,4.5,5.5,5,4.5,4.25,7,3.5,6,4,7,7,5,3.5,5.75,5,0.05,,183,1970,98.96,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,1,Small,Chironomidae Adult,3,,,,,,,,,,,,,,,,,,,,3,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
