Year,Date,Range,Sampler,Stream,Rep,Fraction,Subsample,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,Abundance ,Density,Biomass (mg/m2),Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Large,1,Prosimuliium,5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Large,1,Non-Tanypodinae,3.5,5.5,6,3,5,5,6,1.5,4.5,2.5,4.5,3.5,5,5,5.5,3,5,5.5,4,5,,,,27,291,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Small,1,Non-Tanypodinae,2,4,2.5,1,6,3,3,2.5,3.5,2,3.75,2,3,2,1.5,4,1.5,1.25,3,3,,,,415,4467,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Small,1,Prosimuliium,5.25,5.5,5,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,7,75,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Small,1,Collembola,1,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,1,Small,1,Staphylinidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Large,1,Non-Tanypodinae,7,5,2.5,7,4,4.5,4.5,3,2,5,5,1.5,5,5.5,4.5,4,6,4,5.5,6,,,,79,850,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Large,1,Dicranota,8,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Large,1,Prosimuliium,5.5,6,5,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Large,1,Lednia,6,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Large,1,Limnephilidae,4,,,,,,,,,,,,,,,,,,,,,,,1,11,,,early instar,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Non-Tanypodinae,5,3,3,3,3.5,2.5,6,1.5,3,3,2,7,4.5,4,4,2.5,5,7,3.5,3,,,,370,3983,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Clinocera,3.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Oligochaeta,2,3,4,,,,,,,,,,,,,,,,,,,,,3,32,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Prosimuliium,2,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Collembola,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Large,1,Non-Tanypodinae,5,5.5,2.5,3,2,2.5,5.5,5.5,6,5,6.5,7,4.5,2.5,5,4.5,5.5,5,3.5,4,,,,97,1044,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Large,1,Prosimuliium,6,6,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Non-Tanypodinae,7,1.5,1.25,2.5,1.5,4,2.5,5,2.5,6,3.5,6,2,6.5,2.5,2.75,2.25,3,4,5,,,,505,5436,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Prosimuliium,4,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Collembola,1.25,1.25,1,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Acari,1,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Middle Teton,3,Small,1,Oligochaeta,1.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,0.25,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Large,1,Megarcys,18,7,6,7,7,7,7,5,6,,,,,,,,,,,,,,,9,97,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Large,1,Non-Tanypodinae,10,8,8,9,3.5,9.5,7,8,4,10,8,6.5,8,8.5,9.5,7,6,9,8,8,,,,23,248,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Large,1,Rhyacophila Rotunda Group,17,6.5,7,9,8,,,,,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Small,1,Non-Tanypodinae,2,2,2.5,3,3.5,2,2,2.5,3.5,2.5,9.5,7,5.5,4,3.5,4,7,2,2,3,,,,144,1550,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,8,86,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Small,1,Zapada,3,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Small,1,Plecoptera,1,,,,,,,,,,,,,,,,,,,,,,,1,11,,,early instar,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,1,Small,1,Acari,1,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Large,1,Megarcys,6.5,6.5,6,6,6.5,6,7,5.5,6.5,6.5,6.5,7,6,6.5,6,7,5.5,5,9,7,,,,44,474,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Large,1,Non-Tanypodinae,5.5,8,7,9,7,3,3.5,6,8,8,3.5,8,8,4,8,7,5.5,4,2,7,,,,20,215,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Large,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Large,1,Rhyacophila Rotunda Group,9,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Collembola,1.5,1.5,1.75,1.5,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Zapada,3,3.5,2.5,2.5,2,2.5,2.5,3,3.5,2.5,,,,,,,,,,,,,,10,108,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Non-Tanypodinae,3.5,4,2,2.5,4,4,1.5,4,3,2.5,1.5,3,1.5,4,1.5,3,5.5,3.5,4,3,,,,224,2411,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,7,75,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Megarcys,5,4.5,4.5,5,5,6,5,5,6,,,,,,,,,,,,,,,9,97,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,24,258,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Acari,1.25,1,1,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Staphylinidae,2.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,2,Small,1,Rhyacophila Rotunda Group,5,2,2,6,1.5,2,,,,,,,,,,,,,,,,,,6,65,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Large,1,Megarcys,5.5,6,6,6,3.5,6.5,8,6,5,6,6,6,4.5,5,6.5,5.5,6,6,5.5,6,,,,25,269,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Large,1,Non-Tanypodinae,6,4,6,4,5,3.5,8,8.5,6,8,3.5,6,6,4,4,3,2,9.5,8,9,,,,21,226,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Large,1,Zapada,5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Large,1,Rhyacophila Rotunda Group,6,6,9,14,5,,,,,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Large,1,Rhyacophila Verrula Group,15,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Non-Tanypodinae,1.5,3,2,2.5,1.5,3,3.5,2,2,2,3,4.5,3,3.25,3,3,2,2,4,3,,,,159,1712,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,14,151,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,4,43,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Acari,1,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Megarcys,5,5,6,4,5,5,,,,,,,,,,,,,,,,,,6,65,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,Wind Cave,3,Small,1,Zapada,3,3,5,2,3,3,5,4,2.75,2,3,2.5,2.5,2.5,,,,,,,,,,14,151,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Tipula,15,28,34,33,31,24,34,18,30,35,28,,,,,,,,,,,,,11,118,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Epeorus,7,6,6,6,5,6,5,7,7.5,6,6.5,5,6,6.5,7,5.5,,,,,,,,16,172,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Cinygmula,8,7.5,7.5,5,5.5,5.5,5.5,6,7,6.5,8,7.5,7,7,7,5,6,7,7,7.5,,,,21,226,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Sweltsa,5.5,7,5,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Non-Tanypodinae,2.75,4.5,5.5,3.5,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Suwallia,6.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Probezzia,7.25,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Baetis,6,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Rhyacophila Rotunda Group,8,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Large,1,Rhyacophila Coloradensis Group,5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Cinygmula,2.25,6,2.75,2.75,7,2.25,2,4.5,2.25,4.5,2,5.5,2,1.75,1.75,2.25,1.75,2,2.25,1.5,,,,30,323,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Non-Tanypodinae,4,3.5,3.25,2,2,3,2.5,2.5,1.5,4.5,1,2,3,1.5,3,2,3,3,2,2,,,,45,484,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Tanypodinae,4,3,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Sweltsa,4,4.75,4,6,2.5,3,3,2.25,,,,,,,,,,,,,,,,8,86,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Rhyacophila Betteni Group,5.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Epeorus,5,6,5.5,4.5,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Baetis,5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Rhyacophila blarina,2.25,2.5,2,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Rhyacophila Coloradensis Group,5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,7,75,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,3,32,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Tipula,3,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
