Year,Date,Range,Sampler,Stream,Rep,Fraction,Subsample,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,MeanLength_mm,Abundance ,Density,Biomass_mg_m2,Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Non-Tanypodinae,3.5,2,3,2,2,2.5,2.5,1.5,1.5,3,2,4,1.5,3,3.5,2,3,4,4,3,,,,2.7,219,2357,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Oligochaeta,3,3,1.5,1.5,3,2,1.5,3,5,3.5,5,2,6,3,2,2,3,4,3,3,,,,3,28,301,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Baetis,3,2,2,2,5,2,3,6.5,3,2,2.5,5,3.5,2,2.5,2.5,2.5,1.5,2,2.5,,,,2.9,32,344,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Cinygmula,3.5,4,3,5,4,4,,,,,,,,,,,,,,,,,,3.9,6,65,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Megarcys,4,3,3,3,3,3,3,3.5,3,,,,,,,,,,,,,,,3.2,9,97,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Small,1,Epeorus,3.5,3,3.5,2.5,3,3.5,,,,,,,,,,,,,,,,,,3.2,6,65,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Baetis,5.5,6.5,7,8,8,10,6,6,7.5,7,5.5,7,6.5,6,8,8,5.5,7.5,8,7.5,,,,7.1,22,237,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Cinygmula,6.5,5.5,6.5,4,5.5,7,,,,,,,,,,,,,,,,,,5.8,6,65,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Epeorus,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Drunella,4.5,,,,,,,,,,,,,,,,,,,,,,,4.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Non-Tanypodinae,2.5,3,2,3.5,5,3,3,4,2,4.5,2,4,3,,,,,,,,,,,3.2,13,140,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,1,Large,1,Oligochaeta,4.5,,,,,,,,,,,,,,,,,,,,,,,4.5,1,11,,,,0.25,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Non-Tanypodinae,4,1,1,3,3,4,3,2,3,1.5,2,3,1.5,4,1.5,3,4,3,2,1.5,,,,2.6,1171,12605,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Allomyia,2.5,,,,,,,,,,,,,,,,,,,,,,,2.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Oligochaeta,5.5,3,4,2,4,3,2.5,2,3,5,5,1.5,3,2,4,3,2,1,1.5,5,,,,3.1,20,215,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Cinygmula,5.5,4.5,4,4,4,2,,,,,,,,,,,,,,,,,,4,6,65,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Epeorus,2,4,3,3.5,3,3,3.5,,,,,,,,,,,,,,,,,3.1,7,75,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Baetis,2,3,2,3.5,4,2.5,2,2.5,4,,,,,,,,,,,,,,,2.8,9,97,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Heterocloeon,4,4,,,,,,,,,,,,,,,,,,,,,,4,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Megarcys,3,3.5,3,4,3.5,3.5,4,3,2,,,,,,,,,,,,,,,3.3,9,97,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Acari,1,1,1,,,,,,,,,,,,,,,,,,,,,1,3,32,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Ostracoda,1,,,,,,,,,,,,,,,,,,,,,,,1,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Small,1,Zapada,2.5,5,,,,,,,,,,,,,,,,,,,,,,3.8,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Megarcys,18,13,,,,,,,,,,,,,,,,,,,,,,15.5,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Drunella,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Epeorus,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Rithrogena,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Cinygmula,6,6.5,,,,,,,,,,,,,,,,,,,,,,6.3,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Tipula,14,,,,,,,,,,,,,,,,,,,,,,,14,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,2,Large,1,Non-Tanypodinae,3.5,3,3.5,4,3.5,4,4.5,3.5,3.5,3,3.5,2,3,,,,,,,,,,,3.4,13,140,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Non-Tanypodinae,1,2,2,1,3,3,2,2,2,2.5,1.5,1,2,2,4,1,3,4,2,1,,,,2.1,1300,13994,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Baetis,3.5,3,3,3,3,2.5,4,3,2.5,3,2,2.5,2.5,6,2,3.5,2,5,2,3,,,,3.1,34,366,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Acari,1,1,,,,,,,,,,,,,,,,,,,,,,1,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Sweltsa,2,,,,,,,,,,,,,,,,,,,,,,,2,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Megarcys,4,3,3.5,4,4,4,4,3,,,,,,,,,,,,,,,,3.7,8,86,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Rithrogena,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Epeorus,2,2.5,,,,,,,,,,,,,,,,,,,,,,2.3,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Oligochaeta,4,4,4,2.5,4,3,4,,,,,,,,,,,,,,,,,3.6,7,75,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Small,1,Zapada,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Drunella,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Baetis,9,5,,,,,,,,,,,,,,,,,,,,,,7,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Megarcys,15,16,15,20,,,,,,,,,,,,,,,,,,,,16.5,4,43,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Heterocloeon,5,4,,,,,,,,,,,,,,,,,,,,,,4.5,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Non-Tanypodinae,3,3.5,4,2.5,3,4,2,3,2,2.5,3.5,4,4.5,3,3,4,4,3,2,4.5,,,,3.3,47,506,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Alaska Basin RG,3,Large,1,Homophylax,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,1,Small,1,Non-Tanypodinae,3,2,2,1,2,1.5,2,5,4,4,3,1,1.5,1,4,3,3,3,2,3,,,,2.6,303,3262,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,1,Large,1,Non-Tanypodinae,6,4,4,3,2,6.5,4,7,6,6,4,4,1.5,5,5.5,5.5,2,5,5,4.5,,,,4.5,94,1012,,,,,,,,,,,,,,,,,,,,,,,
