Date,Grand Targhee (1082) Air Temperature Average (degF),Phillips Bench Air temp F
7/1/15,61.9,64.9
7/2/15,62.4,64.6
7/3/15,62.8,64.8
7/4/15,62.4,66.7
7/5/15,53.6,57.4
7/6/15,52,52.2
7/7/15,53.6,55.9
7/8/15,49.1,51.3
7/9/15,50,51.3
7/10/15,47.3,48.4
7/11/15,49.3,53.6
7/12/15,52.3,57.0
7/13/15,51.1,54.0
7/14/15,53.6,56.5
7/15/15,48.9,51.3
7/16/15,52.5,56.5
7/17/15,46.4,53.6
7/18/15,45.1,47.5
7/19/15,48.6,52.0
7/20/15,52.5,52.0
7/21/15,55.2,56.8
7/22/15,53.4,55.0
7/23/15,48.9,53.2
7/24/15,51.6,54.0
7/25/15,54.1,55.6
7/26/15,57.9,59.7
7/27/15,41.5,47.1
7/28/15,38.8,44.1
7/29/15,48.7,51.3
7/30/15,55.8,57.2
7/31/15,59.2,61.2
8/1/15,61.3,63.3
8/2/15,63.5,64.4
8/3/15,54.9,57.6
8/4/15,52.5,56.8
8/5/15,50,53.2
8/6/15,49.8,53.6
8/7/15,52.5,55.0
8/8/15,44.1,47.1
8/9/15,49.3,51.6
8/10/15,56.5,56.8
8/11/15,61.2,61.5
8/12/15,57.9,60.4
8/13/15,60.8,61.5
8/14/15,58.5,59.5
8/15/15,56.3,60.4
8/16/15,53.1,57.9
8/17/15,49.8,54.0
8/18/15,46.6,49.6
8/19/15,48.7,52.0
8/20/15,52.7,55.6
8/21/15,54.5,59.5
8/22/15,46.2,51.3
8/23/15,53.4,53.8
8/24/15,60.4,61.3
8/25/15,62.8,63.7
8/26/15,54.5,53.4
8/27/15,53.2,53.2
8/28/15,57.7,58.8
8/29/15,59.4,61.2
8/30/15,53.1,56.8
8/31/15,50,55.4
9/1/15,56.5,59.0
9/2/15,58.5,60.3
9/3/15,54.5,58.1
9/4/15,53.4,55.6
9/5/15,39.4,44.6
9/6/15,37,41.5
9/7/15,42.3,47.8
9/8/15,45.3,49.5
9/9/15,50.7,53.6
9/10/15,52.9,55.6
9/11/15,55.6,56.5
9/12/15,56.5,58.1
9/13/15,55.8,58.1
9/14/15,50.9,56.8
9/15/15,40.8,43.9
9/16/15,34.3,38.3
9/17/15,33.4,36.3
9/18/15,35.4,38.3
9/19/15,40.3,43.5
9/20/15,46.2,49.1
9/21/15,50.7,52.7
9/22/15,54.7,55.0
9/23/15,54,55.2
9/24/15,55.2,55.6
9/25/15,58.3,57.7
9/26/15,56.3,58.5
9/27/15,52.2,55.8
9/28/15,48.9,52.9
9/29/15,50.4,51.3
9/30/15,52.5,54.0
10/1/15,52.9,53.6
10/2/15,40.8,43.7
10/3/15,38.8,42.1
10/4/15,41.7,42.3
10/5/15,45.5,46.4
10/6/15,44.8,44.8
10/7/15,44.4,47.1
10/8/15,43.5,47.8
10/9/15,48.6,49.3
10/10/15,52.3,52.5
10/11/15,41.5,46.8
10/12/15,44.1,45.7
10/13/15,46.4,50.7
10/14/15,46.6,49.8
10/15/15,47.7,47.5
10/16/15,49.6,47.5
10/17/15,49.6,50.2
10/18/15,42.8,46.9
10/19/15,38.3,41.0
10/20/15,34,37.4
10/21/15,37.2,37.2
10/22/15,36.5,40.6
10/23/15,33.3,37.4
10/24/15,35.8,39.4
10/25/15,39.4,41.5
10/26/15,33.1,37.2
10/27/15,26.8,31.6
10/28/15,30,33.6
10/29/15,29.1,33.4
10/30/15,26.4,31.8
10/31/15,34.5,39.2
11/1/15,33.3,37.4
11/2/15,32.2,33.1
11/3/15,30.4,32.5
11/4/15,21.7,26.8
11/5/15,18.3,23.4
11/6/15,17.6,22.1
11/7/15,22.5,22.5
11/8/15,29.7,27.3
11/9/15,28.2,29.7
11/10/15,19.2,24.3
11/11/15,15.4,22.6
11/12/15,19.8,25.7
11/13/15,23.9,28.0
11/14/15,33.3,31.6
11/15/15,32.2,31.3
11/16/15,21.4,26.4
11/17/15,16.3,23.0
11/18/15,16.2,22.8
11/19/15,20.1,25.9
11/20/15,10.9,17.1
11/21/15,12.6,14.4
11/22/15,25.5,22.3
11/23/15,31.3,28.8
11/24/15,30.2,30.2
11/25/15,23.7,24.4
11/26/15,11.1,14.0
11/27/15,14.9,13.5
11/28/15,16,17.4
11/29/15,9.1,12.4
11/30/15,5.4,9.3
12/1/15,12.9,7.9
12/2/15,19.4,19.4
12/3/15,30.2,26.4
12/4/15,24.6,28.4
12/5/15,18.1,21.4
12/6/15,26.8,26.1
12/7/15,27.9,32.5
12/8/15,30.9,34.9
12/9/15,27.9,33.6
12/10/15,23.4,26.1
12/11/15,17.4,21.2
12/12/15,16.5,19.9
12/13/15,23.5,24.1
12/14/15,18.5,22.6
12/15/15,12.6,15.6
12/16/15,8.4,14.5
12/17/15,5.9,10.8
12/18/15,22.8,26.8
12/19/15,25.2,27.7
12/20/15,17.1,22.1
12/21/15,18,21.7
12/22/15,14.2,19.4
12/23/15,9.3,13.6
12/24/15,9.7,14.2
12/25/15,8.8,10.0
12/26/15,1,2.7
12/27/15,14.5,5.4
12/28/15,8.6,7.0
12/29/15,4.8,6.6
12/30/15,0.9,5.4
12/31/15,3.7,0.5
1/1/16,17.4,8.1
1/2/16,18.9,15.1
1/3/16,27.7,24.4
1/4/16,29.5,28.2
1/5/16,26.2,28.0
1/6/16,25.9,28.0
1/7/16,21.7,26.1
1/8/16,17.6,21.6
1/9/16,13.1,18.5
1/10/16,9.1,11.8
1/11/16,9.9,7.7
1/12/16,15.8,16.0
1/13/16,23,23.2
1/14/16,15.6,21.0
1/15/16,11.5,16.0
1/16/16,15.8,21.2
1/17/16,20.8,25.3
1/18/16,23.7,27.7
1/19/16,19.9,23.0
1/20/16,19.4,23.9
1/21/16,20.8,20.5
1/22/16,27.9,26.2
1/23/16,24.4,26.8
1/24/16,19.2,24.4
1/25/16,12.4,15.8
1/26/16,14.9,14.0
1/27/16,27.9,21.0
1/28/16,26.6,27.0
1/29/16,23.5,27.9
1/30/16,15.8,21.0
1/31/16,10.8,13.6
2/1/16,9,12.9
2/2/16,3.9,7.9
2/3/16,6.8,9.0
2/4/16,10.4,14.9
2/5/16,15.8,19.9
2/6/16,19.8,26.1
2/7/16,21.2,26.4
2/8/16,27.5,29.7
2/9/16,32.2,28.6
2/10/16,31.3,31.6
2/11/16,32.7,33.4
2/12/16,33.8,36.5
2/13/16,24.6,31.6
2/14/16,23,28.2
2/15/16,28,32.9
2/16/16,28.2,34.5
2/17/16,32.9,36.5
2/18/16,26.1,29.7
2/19/16,23.5,28.9
2/20/16,17.4,24.8
2/21/16,19.9,22.6
2/22/16,18.3,23.7
2/23/16,15.4,17.2
2/24/16,20.3,23.0
2/25/16,25.9,27.1
2/26/16,30.9,29.8
2/27/16,28.8,31.1
2/28/16,24.6,30.4
2/29/16,21.2,28.4
3/1/16,24.1,29.8
3/2/16,25.3,31.3
3/3/16,31.5,36.3
3/4/16,31.8,34.7
3/5/16,36,36.5
3/6/16,31.5,32.5
3/7/16,21.7,27.3
3/8/16,20.5,25.3
3/9/16,21.4,27.0
3/10/16,32.9,36.0
3/11/16,38.7,41.0
3/12/16,31.8,36.9
3/13/16,26.8,32.7
