Date,Grand Targhee (1082) Air Temperature Observed (degF) Start of Day Values,Phillips Bench (689) Air Temperature Observed (degF) Start of Day Values
2015-07-01,57.4,55.9
2015-07-02,59.5,59.5
2015-07-03,56.5,55.0
2015-07-04,60.1,57.9
2015-07-05,59.9,62.2
2015-07-06,46.8,47.3
2015-07-07,48.0,46.2
2015-07-08,49.1,47.5
2015-07-09,46.4,47.7
2015-07-10,47.5,45.5
2015-07-11,43.7,42.3
2015-07-12,46.8,49.5
2015-07-13,51.8,49.5
2015-07-14,47.7,42.6
2015-07-15,51.8,51.4
2015-07-16,47.8,41.9
2015-07-17,50.9,55.8
2015-07-18,41.9,45.5
2015-07-19,40.8,41.4
2015-07-20,48.6,46.8
2015-07-21,46.8,42.4
2015-07-22,52.5,51.6
2015-07-23,48.9,46.8
2015-07-24,48.2,46.4
2015-07-25,48.6,43.2
2015-07-26,53.2,50.2
2015-07-27,57.9,50.7
2015-07-28,29.1,32.5
2015-07-29,38.3,36.3
2015-07-30,47.7,44.6
2015-07-31,51.8,50.0
2015-08-01,56.1,55.2
2015-08-02,58.3,55.8
2015-08-03,62.2,61.2
2015-08-04,46.8,49.3
2015-08-05,51.3,48.9
2015-08-06,42.4,46.2
2015-08-07,50.4,51.4
2015-08-08,45.5,46.4
2015-08-09,41.4,42.3
2015-08-10,47.5,45.5
2015-08-11,57.2,51.1
2015-08-12,56.1,56.8
2015-08-13,57.0,54.0
2015-08-14,59.4,56.7
2015-08-15,54.7,51.6
2015-08-16,50.9,53.2
2015-08-17,50.2,45.7
2015-08-18,43.9,40.6
2015-08-19,43.9,43.7
2015-08-20,47.5,49.8
2015-08-21,51.3,49.5
2015-08-22,47.1,52.7
2015-08-23,43.7,40.3
2015-08-24,52.5,49.5
2015-08-25,59.4,55.9
2015-08-26,61.3,57.9
2015-08-27,45.5,45.9
2015-08-28,51.8,47.5
2015-08-29,56.1,53.6
2015-08-30,50.2,51.1
2015-08-31,43.5,50.0
2015-09-01,48.9,50.0
2015-09-02,56.7,55.2
2015-09-03,57.6,53.1
2015-09-04,52.0,48.6
2015-09-05,42.4,44.4
2015-09-06,29.5,30.7
2015-09-07,37.8,36.9
2015-09-08,39.2,43.5
2015-09-09,43.2,45.3
2015-09-10,48.9,50.0
2015-09-11,49.8,48.0
2015-09-12,51.6,52.2
2015-09-13,52.9,51.3
2015-09-14,49.8,54.7
2015-09-15,45.9,46.8
2015-09-16,40.3,40.3
2015-09-17,30.6,32.9
2015-09-18,30.0,32.2
2015-09-19,32.5,32.0
2015-09-20,38.1,37.9
2015-09-21,46.0,46.4
2015-09-22,49.3,48.0
2015-09-23,50.4,49.6
2015-09-24,48.9,47.8
2015-09-25,53.8,49.8
2015-09-26,55.2,54.0
2015-09-27,51.6,51.3
2015-09-28,50.2,53.8
2015-09-29,47.5,43.0
2015-09-30,47.1,44.2
2015-10-01,47.1,49.8
2015-10-02,45.5,44.2
2015-10-03,36.5,39.6
