date,station_id,station_name,swe_cm,snowdepth_cm,airtemp_c
04/01/15,1082,Grand Targhee,83.8,211,-6.2
04/02/15,1082,Grand Targhee,84.1,221,-8.3
04/03/15,1082,Grand Targhee,84.3,221,-6.4
04/04/15,1082,Grand Targhee,85.1,218,-1.6
04/05/15,1082,Grand Targhee,85.6,218,-1.0
04/06/15,1082,Grand Targhee,85.9,218,-4.3
04/07/15,1082,Grand Targhee,88.1,239,-3.2
04/08/15,1082,Grand Targhee,88.9,236,-1.7
04/09/15,1082,Grand Targhee,89.9,234,-3.1
04/10/15,1082,Grand Targhee,90.7,236,0.4
04/11/15,1082,Grand Targhee,90.9,231,0.7
04/12/15,1082,Grand Targhee,91.7,231,-4.9
04/13/15,1082,Grand Targhee,92.5,236,2.3
04/14/15,1082,Grand Targhee,93.2,229,1.7
04/15/15,1082,Grand Targhee,93.7,231,-4.2
04/16/15,1082,Grand Targhee,95.0,241,0.2
04/17/15,1082,Grand Targhee,96.0,234,4.1
04/18/15,1082,Grand Targhee,94.2,229,3.6
04/19/15,1082,Grand Targhee,91.9,226,1.0
04/20/15,1082,Grand Targhee,90.9,221,2.4
04/21/15,1082,Grand Targhee,89.9,218,4.5
04/22/15,1082,Grand Targhee,89.4,211,6.2
04/23/15,1082,Grand Targhee,89.2,211,2.3
04/24/15,1082,Grand Targhee,89.2,208,0.9
04/25/15,1082,Grand Targhee,90.9,224,-1.6
04/26/15,1082,Grand Targhee,91.9,224,-0.9
04/27/15,1082,Grand Targhee,93.5,231,1.5
04/28/15,1082,Grand Targhee,93.5,218,6.1
04/29/15,1082,Grand Targhee,92.2,213,8.0
04/30/15,1082,Grand Targhee,90.9,206,3.7
05/01/15,1082,Grand Targhee,90.2,203,5.9
05/02/15,1082,Grand Targhee,88.9,198,7.7
05/03/15,1082,Grand Targhee,86.9,193,5.5
05/04/15,1082,Grand Targhee,85.3,193,6.6
05/05/15,1082,Grand Targhee,83.8,185,5.5
05/06/15,1082,Grand Targhee,83.1,183,3.5
05/07/15,1082,Grand Targhee,83.1,183,2.1
05/08/15,1082,Grand Targhee,82.8,183,2.0
05/09/15,1082,Grand Targhee,83.3,183,1.9
05/10/15,1082,Grand Targhee,82.3,183,0.0
05/11/15,1082,Grand Targhee,82.0,180,2.6
05/12/15,1082,Grand Targhee,81.3,175,6.1
05/13/15,1082,Grand Targhee,80.5,173,5.0
05/14/15,1082,Grand Targhee,79.2,168,4.8
05/15/15,1082,Grand Targhee,77.0,163,2.5
05/16/15,1082,Grand Targhee,78.5,168,0.6
05/17/15,1082,Grand Targhee,79.8,175,1.7
05/18/15,1082,Grand Targhee,80.3,178,3.7
05/19/15,1082,Grand Targhee,80.0,173,3.0
05/20/15,1082,Grand Targhee,80.0,173,3.7
05/21/15,1082,Grand Targhee,78.7,168,5.4
05/22/15,1082,Grand Targhee,77.0,163,4.5
05/23/15,1082,Grand Targhee,75.2,157,3.9
05/24/15,1082,Grand Targhee,73.2,155,4.3
05/25/15,1082,Grand Targhee,71.6,152,5.0
05/26/15,1082,Grand Targhee,69.9,147,3.5
05/27/15,1082,Grand Targhee,69.1,142,3.3
05/28/15,1082,Grand Targhee,69.9,145,2.4
05/29/15,1082,Grand Targhee,72.6,157,6.9
05/30/15,1082,Grand Targhee,71.4,152,8.5
05/31/15,1082,Grand Targhee,70.6,147,10.7
06/01/15,1082,Grand Targhee,66.8,135,9.8
06/02/15,1082,Grand Targhee,62.2,132,8.1
06/03/15,1082,Grand Targhee,57.9,122,7.4
06/04/15,1082,Grand Targhee,55.4,119,8.7
06/05/15,1082,Grand Targhee,52.6,112,9.5
06/06/15,1082,Grand Targhee,49.5,99,8.0
06/07/15,1082,Grand Targhee,47.0,97,9.7
06/08/15,1082,Grand Targhee,44.5,94,12.1
06/09/15,1082,Grand Targhee,40.1,86,11.9
06/10/15,1082,Grand Targhee,36.6,79,10.6
06/11/15,1082,Grand Targhee,32.8,69,11.0
06/12/15,1082,Grand Targhee,29.0,58,11.7
06/13/15,1082,Grand Targhee,22.9,51,10.0
