date,station_id,station_name,swe_cm,snowdepth_cm,airtemp_c
1/1/15,1082,Grand Targhee,49.28,177.8,-5.22
1/2/15,1082,Grand Targhee,49.53,170.18,-7.72
1/3/15,1082,Grand Targhee,49.78,172.72,-11.28
1/4/15,1082,Grand Targhee,50.04,180.34,-8.5
1/5/15,1082,Grand Targhee,54.1,208.28,-4.11
1/6/15,1082,Grand Targhee,60.2,220.98,-1.39
1/7/15,1082,Grand Targhee,60.2,210.82,-0.28
1/8/15,1082,Grand Targhee,60.2,205.74,-1.61
1/9/15,1082,Grand Targhee,60.2,200.66,-3.22
1/10/15,1082,Grand Targhee,60.2,200.66,-3.39
1/11/15,1082,Grand Targhee,60.2,198.12,-3.78
1/12/15,1082,Grand Targhee,62.48,210.82,-4.89
1/13/15,1082,Grand Targhee,62.48,208.28,-7.5
1/14/15,1082,Grand Targhee,62.48,208.28,-5.11
1/15/15,1082,Grand Targhee,62.48,203.2,-2.22
1/16/15,1082,Grand Targhee,62.74,203.2,-4.78
1/17/15,1082,Grand Targhee,65.79,220.98,-7
1/18/15,1082,Grand Targhee,66.8,226.06,-1.78
1/19/15,1082,Grand Targhee,68.07,233.68,-6.39
1/20/15,1082,Grand Targhee,68.07,231.14,-10.78
1/21/15,1082,Grand Targhee,68.07,220.98,-14
1/22/15,1082,Grand Targhee,68.07,218.44,-9
1/23/15,1082,Grand Targhee,68.07,218.44,-6.39
1/24/15,1082,Grand Targhee,68.33,218.44,-3.72
1/25/15,1082,Grand Targhee,68.83,218.44,-0.28
1/26/15,1082,Grand Targhee,68.83,210.82,4.28
1/27/15,1082,Grand Targhee,69.09,210.82,2.72
1/28/15,1082,Grand Targhee,69.34,213.36,-2.78
1/29/15,1082,Grand Targhee,70.61,223.52,-5.39
1/30/15,1082,Grand Targhee,70.61,218.44,-1.89
1/31/15,1082,Grand Targhee,70.61,215.9,-6.11
2/1/15,1082,Grand Targhee,70.61,215.9,-7.72
2/2/15,1082,Grand Targhee,72.39,215.9,-4
2/3/15,1082,Grand Targhee,73.91,226.06,-3.11
2/4/15,1082,Grand Targhee,76.2,243.84,-3.28
2/5/15,1082,Grand Targhee,76.45,251.46,-1.22
2/6/15,1082,Grand Targhee,76.71,248.92,2.5
2/7/15,1082,Grand Targhee,76.71,238.76,0.28
2/8/15,1082,Grand Targhee,76.71,226.06,-0.39
2/9/15,1082,Grand Targhee,76.71,223.52,-0.5
2/10/15,1082,Grand Targhee,77.47,223.52,-3.72
2/11/15,1082,Grand Targhee,77.47,226.06,-4.28
2/12/15,1082,Grand Targhee,77.47,226.06,-1.28
2/13/15,1082,Grand Targhee,77.47,226.06,1.11
2/14/15,1082,Grand Targhee,77.47,226.06,1.78
2/15/15,1082,Grand Targhee,77.47,226.06,-5.22
2/16/15,1082,Grand Targhee,77.47,226.06,-9.22
2/17/15,1082,Grand Targhee,77.47,223.52,-10
2/18/15,1082,Grand Targhee,77.47,223.52,-3.5
2/19/15,1082,Grand Targhee,77.47,220.98,-1.5
2/20/15,1082,Grand Targhee,77.72,220.98,-5.78
2/21/15,1082,Grand Targhee,78.74,223.52,-9.22
2/22/15,1082,Grand Targhee,78.74,236.22,-13.11
2/23/15,1082,Grand Targhee,78.74,233.68,-7.39
2/24/15,1082,Grand Targhee,78.99,231.14,-3.72
2/25/15,1082,Grand Targhee,79.25,228.6,-7.5
2/26/15,1082,Grand Targhee,79.25,231.14,-10.28
2/27/15,1082,Grand Targhee,79.25,228.6,-9.89
2/28/15,1082,Grand Targhee,79.25,236.22,-9.5
3/1/15,1082,Grand Targhee,79.25,233.68,-9
3/2/15,1082,Grand Targhee,79.76,231.14,-6.5
3/3/15,1082,Grand Targhee,80.26,248.92,-11.72
3/4/15,1082,Grand Targhee,81.03,246.38,-14
3/5/15,1082,Grand Targhee,81.03,243.84,-7.22
3/6/15,1082,Grand Targhee,81.03,238.76,-3.39
3/7/15,1082,Grand Targhee,81.28,236.22,-1.39
3/8/15,1082,Grand Targhee,81.28,233.68,-2.11
3/9/15,1082,Grand Targhee,81.28,233.68,-1.11
3/10/15,1082,Grand Targhee,81.28,231.14,0.72
3/11/15,1082,Grand Targhee,81.28,228.6,2.39
3/12/15,1082,Grand Targhee,81.28,226.06,-0.39
3/13/15,1082,Grand Targhee,81.79,220.98,1.72
3/14/15,1082,Grand Targhee,81.79,220.98,3.39
3/15/15,1082,Grand Targhee,81.79,220.98,5.89
3/16/15,1082,Grand Targhee,81.53,220.98,4.89
3/17/15,1082,Grand Targhee,81.53,215.9,4.22
3/18/15,1082,Grand Targhee,81.53,215.9,-1.39
3/19/15,1082,Grand Targhee,81.53,215.9,-1.28
3/20/15,1082,Grand Targhee,81.28,215.9,2.5
3/21/15,1082,Grand Targhee,81.28,210.82,2.78
3/22/15,1082,Grand Targhee,81.28,213.36,0.89
